playerid,year,teamName,League,Level,orgName,lastName,firstName,G,AB,R,H,Dbl,Tpl,HR,RBI,SB,CS,BB,IBB,SO,SH,SF,HBP,GDP,Bavg,Slg,obp,OPS,Age,HT,WT,Bats,Throws,posit,borndate,cityName,regionID,Predicted_WAR,MakeIt_PredictedWAR,Likelihood
135552,2017,Quintana Roo,Mex,AAA,-,Marrero,Christian,47,161,20,41,7,1,7,23,0,1,23,2,30,0,1,8,9,0.255,0.441,0.373,814,30,6-1,185,L,L,1B,7/30/1986,Miami,FL,7.67465578055576,0.491177969955569,0.064
135599,2017,Reno,PCL,AAA,ARI,Rivero,Carlos,59,206,27,61,12,1,8,38,0,1,20,0,39,0,7,0,4,0.296,0.481,0.348,829,29,6-3,198,R,R,3B,5/20/1988,Barquisimeto,VZ,3.04528752960533,1.43128513891451,0.47
135603,2017,Leon,Mex,AAA,-,Rodriguez,Reynaldo,17,63,8,13,0,0,1,2,5,2,8,0,15,0,0,0,0,0.206,0.254,0.296,550,31,6-0,195,R,R,1B,2/7/1986,San Pedro de Macoris,DR,7.88312729962651,2.94828961006032,0.374
136271,2017,Durango,Mex,AAA,-,Vega,Jesus,51,144,16,33,7,0,5,25,0,0,12,0,36,3,1,4,3,0.229,0.382,0.304,686,35,5-11,187,R,R,C,4/10/1982,Navojoa,MX,3.10690767041552,0.0621381534083104,0.02
136489,2017,Aguascalientes,Mex,AAA,-,Presichi,Cristhian,104,388,67,127,21,1,5,58,11,7,36,1,39,4,6,2,13,0.327,0.425,0.382,807,36,6-0,200,R,R,OF,7/28/1980,Mexicali,MX,3.08008155498329,0.314168318608295,0.102
141412,2017,Laguna,Mex,AAA,-,Vasquez,Robert,42,133,21,38,5,2,1,16,5,4,17,1,42,1,2,3,1,0.286,0.376,0.374,750,30,5-10,160,B,R,2B,11/8/1986,Maracay,VZ,7.21953406801772,0.303220430856744,0.042
141421,2017,Campeche,Mex,AAA,-,Beltre,Engel,72,287,40,77,8,2,6,28,10,4,19,1,46,6,0,7,5,0.268,0.373,0.329,702,27,6-1,169,L,L,CF-OF,11/1/1989,Santo Domingo,DR,3.45177043342691,0.421115992878083,0.122
141539,2017,Veracruz,Mex,AAA,-,Manzanillo,Gerson,81,250,35,69,10,4,1,16,11,4,14,1,36,2,0,4,3,0.276,0.36,0.325,685,31,5-11,155,L,R,OF,5/7/1986,Maracaibo,VZ,4.49283010418948,0.1707275439592,0.038
141578,2017,Leon,Mex,AAA,-,Nunez,Israel,24,69,7,18,2,0,2,8,0,0,5,0,8,4,0,0,0,0.261,0.377,0.311,688,31,6-1,200,R,R,C,9/1/1985,Mexico City,MX,5.35315322618741,0.0963567580713733,0.018
141608,2017,Veracruz,Mex,AAA,-,Fuenmayor,Balbino,86,334,44,101,13,1,16,64,0,0,26,1,52,0,3,4,10,0.302,0.491,0.357,848,27,6-2,195,R,R,1B,11/26/1989,Valencia,VZ,6.90945202169731,1.68590629329414,0.244
141634,2017,Leon,Mex,AAA,-,Shimabukuro,Ryohei,3,12,2,3,1,0,0,5,0,0,2,0,2,0,0,1,0,0.25,0.333,0.4,733,27,6-1,205,L,R,1B,9/1/1989,Osaka,JP,14.2691462289756,0.428074386869267,0.03
141803,2017,Aguascalientes,Mex,AAA,-,Latimore,Quincy,17,67,12,19,0,0,4,11,0,2,7,0,16,0,1,0,1,0.284,0.463,0.347,810,28,5-10,175,R,R,OF,2/3/1989,Raleigh,NC,11.8351104679735,0.828457732758145,0.07
141834,2017,Saltillo,Mex,AAA,-,Rosario,Rainel,108,411,83,136,19,1,26,104,9,6,51,2,74,0,3,3,10,0.331,0.572,0.406,978,28,6-1,185,R,R,RF,3/29/1989,Santo Domingo,DR,7.91307835431015,0.965395559225838,0.122
141866,2017,Sacramento,PCL,AAA,SFN,Zambrano,Eliezer,4,12,2,5,0,0,0,1,0,0,2,0,2,0,0,0,0,0.417,0.417,0.5,917,30,5-10,184,B,R,C,9/16/1986,Valencia,VZ,11.0744584859046,0.110744584859046,0.01
142463,2017,Campeche,Mex,AAA,-,Rivera,Francisco,50,92,11,23,5,0,0,5,0,0,15,2,16,0,0,0,8,0.25,0.304,0.355,659,28,5-11,170,L,L,OF,12/3/1988,Medellín de Bravo,MX,5.46744201109379,0.262437216532502,0.048
142465,2017,yucatan,Mex,AAA,-,Sosa,Humberto,75,251,24,58,16,0,5,43,1,0,19,1,51,2,5,0,9,0.231,0.355,0.28,635,31,5-11,195,R,R,C,10/13/1985,Veracruz,MX,3.06518691588389,0.16552009345773,0.054
142529,2017,Aguascalientes,Mex,AAA,-,Vargas,Jose,83,286,58,83,13,1,23,60,4,7,22,0,86,2,3,1,2,0.29,0.584,0.34,924,29,6-3,225,R,R,3B,12/15/1987,Ventura,CA,12.5556567683162,2.68691054841967,0.214
142668,2017,Monclova,Mex,AAA,-,Greene,Justin,30,123,29,41,6,1,4,18,14,7,14,2,29,2,0,1,2,0.333,0.496,0.406,902,31,6-0,185,R,R,OF,10/10/1985,Goose Creek,SC,4.27178751936277,0.623680977826965,0.146
142672,2017,Gwinnett,IL,AAA,ATL,Schlehuber,Braeden,6,15,3,4,0,0,1,3,0,0,0,0,7,0,0,0,1,0.267,0.467,0.267,734,29,6-3,190,R,R,C,1/7/1988,Farmington,UT,6.52263799998569,0.0782716559998283,0.012
