"Name","Team","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid"
"Jake Smith","Athletics (A-)","23","51","172","199","37","19","15","1","2","16","32","21","1","20","2","4","0","6","2","2",".215","sa328136"
"Javier Colina","Reds (AA)","27","120","358","397","77","45","23","2","7","42","42","32","4","81","1","6","0","3","5","2",".215","sa203149"
"Carlos Perez","Cubs (R)","18","30","93","99","20","14","5","0","1","7","10","3","0","18","1","2","0","2","2","1",".215","sa328937"
"Baltazar Valdez","White Sox (R)","23","29","93","108","20","14","4","0","2","11","7","11","0","20","2","1","1","4","0","0",".215","sa329130"
"Michael Thompson","- - -","22","71","228","244","49","33","12","0","4","17","19","7","0","50","3","1","5","5","1","1",".215","sa290622"
"Jeremy Goldschmeding","Nationals (A-)","22","64","228","254","49","43","4","2","0","27","17","15","0","55","4","0","7","5","8","4",".215","sa326783"
"Alexander De Los Santos","Athletics (R)","21","47","135","163","29","19","10","0","0","13","15","24","1","39","3","0","1","2","2","1",".215","sa3001308"
"Jimmy Van Ostrand","Astros (A-)","21","40","149","163","32","24","6","0","2","14","13","9","1","36","3","1","1","3","2","3",".215","sa327047"
"David Castillo","- - -","24","53","163","189","35","27","8","0","0","15","20","17","0","27","3","2","4","2","0","2",".215","sa225992"
"Chris Kroski","Reds (A+)","24","61","191","206","41","29","10","0","2","15","15","9","0","52","3","1","2","3","1","0",".215","sa201631"
"Adam Heether","- - -","24","119","410","470","88","68","16","0","4","41","34","51","2","88","5","3","1","14","1","1",".215","sa226130"
"Justin Brashear","- - -","21","60","205","241","44","22","11","2","9","35","24","29","2","62","3","1","3","5","1","1",".215","sa328995"
"Luis Nieves","Mets (R)","17","56","205","235","44","40","3","1","0","29","15","15","0","30","4","3","7","1","9","5",".215","sa455740"
"Bo Hart","- - -","29","93","261","291","56","39","12","2","3","33","14","22","1","48","5","2","1","6","4","1",".215","1743"
