"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Steve Pollakov","White Sox (R)","24","41",".375","20.00","22.2 %","74.1 %","3.7 %","0.0 %","100.0 %","29.6 %","14.8 %","55.6 %","9.4 %","56","93","149","sa919544"
"Isaiah Aluko","Twins (R)","22","17",".143","6.00","25.0 %","75.0 %","0.0 %","0.0 %","100.0 %","37.5 %","12.5 %","50.0 %","51.3 %","8","31","39","sa948084"
"Alex Rodriguez","Yankees (AA)","40","6",".400","2.00","0.0 %","66.7 %","33.3 %","50.0 %","50.0 %","50.0 %","33.3 %","16.7 %","0.0 %","9","12","21","1274"
"Nomar Mazara","Rangers (AAA)","21","13",".500","3.50","18.2 %","63.6 %","18.2 %","0.0 %","50.0 %","63.6 %","27.3 %","9.1 %","12.5 %","19","29","48","14553"
"Avisail Garcia","White Sox (AAA)","25","14",".444","3.00","20.0 %","60.0 %","20.0 %","0.0 %","50.0 %","50.0 %","40.0 %","10.0 %","15.1 %","20","33","53","5760"
"Danny Valencia","Athletics (A+)","31","7",".000","2.50","0.0 %","71.4 %","28.6 %","0.0 %","50.0 %","57.1 %","28.6 %","14.3 %","0.0 %","7","18","25","6364"
"Jeff Glenn","Mets (AAA)","24","5",".500","0.50","0.0 %","33.3 %","66.7 %","0.0 %","50.0 %","66.7 %","0.0 %","33.3 %","18.2 %","9","13","22","sa501590"
"Carlos Alejo","Dodgers (R)","16","4",".333","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","75.0 %","25.0 %","0.0 %","0.0 %","1","4","5","sa919033"
"Kolten Wong","Cardinals (AAA)","25","34",".444","0.80","18.2 %","36.4 %","45.5 %","20.0 %","40.0 %","72.7 %","18.2 %","9.1 %","10.3 %","53","73","126","12532"
"Evan Gattis","Astros (AA)","29","42",".323","0.85","31.4 %","31.4 %","37.1 %","7.7 %","38.5 %","38.9 %","30.6 %","30.6 %","6.7 %","63","86","149","11003"
"Ronnie Gideon","Brewers (R)","21","245",".393","1.51","27.1 %","43.9 %","29.0 %","26.7 %","37.8 %","52.9 %","23.6 %","23.6 %","15.5 %","304","565","869","sa738630"
"Hunter Pence","Giants (AAA)","33","25",".389","1.25","14.3 %","47.6 %","38.1 %","25.0 %","37.5 %","38.1 %","23.8 %","38.1 %","8.8 %","36","55","91","8252"
"Oswaldo Arcia","Rays (A+)","25","30",".278","0.78","23.8 %","33.3 %","42.9 %","22.2 %","33.3 %","38.1 %","33.3 %","28.6 %","14.1 %","51","77","128","10306"
"Danny Santana","- - -","25","21",".313","2.67","35.3 %","47.1 %","17.6 %","33.3 %","33.3 %","64.7 %","23.5 %","11.8 %","11.6 %","17","52","69","10322"
"Rookie Davis","- - -","23","29",".200","4.33","15.8 %","68.4 %","15.8 %","0.0 %","33.3 %","40.9 %","45.5 %","13.6 %","16.9 %","28","61","89","14962"
"Brandon Woodruff","Brewers (AA)","23","27",".500","2.33","23.1 %","53.8 %","23.1 %","33.3 %","33.3 %","20.0 %","26.7 %","53.3 %","14.3 %","27","71","98","16162"
"Ruben Gotay","Mexican (AAA)","33","16",".182","2.67","8.3 %","66.7 %","25.0 %","0.0 %","33.3 %","58.3 %","25.0 %","16.7 %","12.3 %","24","41","65","3417"
"Ryan Zimmerman","- - -","31","25",".600","1.00","29.4 %","35.3 %","35.3 %","16.7 %","33.3 %","35.3 %","47.1 %","17.7 %","11.6 %","28","67","95","4220"
"Omar Quintanilla","Mexican (AAA)","34","25",".333","1.33","41.7 %","33.3 %","25.0 %","0.0 %","33.3 %","38.5 %","30.8 %","30.8 %","15.2 %","34","58","92","6335"
"Matt Flemer","Rockies (AAA)","25","24",".100","2.33","9.1 %","63.6 %","27.3 %","33.3 %","33.3 %","13.3 %","20.0 %","66.7 %","6.4 %","33","61","94","sa580429"
"Francis Guerrero","Reds (R)","21","12",".333","2.00","10.0 %","60.0 %","30.0 %","0.0 %","33.3 %","30.0 %","20.0 %","50.0 %","12.5 %","14","34","48","sa737373"
"Cody Thomas","- - -","21","267",".391","0.89","23.9 %","35.9 %","40.1 %","15.8 %","33.3 %","42.2 %","30.6 %","27.2 %","18.9 %","322","614","936","sa738459"
"Eudy Ramos","Diamondbacks (R)","20","220",".447","1.28","28.8 %","40.0 %","31.2 %","20.5 %","33.3 %","48.8 %","29.1 %","22.1 %","24.6 %","238","493","731","sa740555"
"Matt Gage","Giants (AA)","23","25",".286","2.67","26.7 %","53.3 %","20.0 %","33.3 %","33.3 %","27.8 %","38.9 %","33.3 %","6.9 %","20","53","73","sa827398"
"Yordany Salva","Royals (R)","19","21",".364","2.00","25.0 %","50.0 %","25.0 %","0.0 %","33.3 %","53.9 %","23.1 %","23.1 %","23.3 %","14","29","43","sa918804"
"Ibandel Isabel","- - -","21","230",".456","1.70","20.0 %","50.4 %","29.6 %","8.1 %","32.4 %","41.3 %","31.0 %","27.8 %","19.9 %","338","565","903","sa737017"
"Dylan Cozens","Phillies (AA)","22","586",".348","1.00","24.2 %","37.9 %","37.9 %","12.1 %","32.3 %","44.9 %","34.2 %","20.8 %","18.2 %","811","1371","2182","15115"
"Michael Conforto","Mets (AAA)","23","144",".446","1.52","33.0 %","40.4 %","26.6 %","37.9 %","31.0 %","44.6 %","28.2 %","27.3 %","7.0 %","204","322","526","16376"
"Kyle Smith","- - -","22","174",".386","1.10","34.4 %","34.4 %","31.2 %","17.2 %","31.0 %","51.6 %","26.8 %","21.7 %","23.4 %","176","368","544","sa919534"
"Carlos Rincon","- - -","18","201",".393","1.00","31.7 %","34.1 %","34.1 %","19.0 %","31.0 %","57.4 %","20.2 %","22.5 %","34.8 %","91","297","388","sa917319"
"Jarrett Parker","Giants (AAA)","27","222",".330","0.90","22.0 %","37.0 %","40.9 %","9.6 %","30.8 %","43.8 %","24.2 %","32.0 %","14.6 %","398","571","969","11624"
"ByungHo Park","Twins (AAA)","29","128",".216","1.03","19.3 %","41.0 %","39.8 %","9.1 %","30.3 %","54.8 %","20.2 %","25.0 %","11.0 %","200","298","498","18497"
"Roni Tapia","Twins (R)","19","58",".174","1.40","7.7 %","53.8 %","38.5 %","20.0 %","30.0 %","46.2 %","23.1 %","30.8 %","55.2 %","16","118","134","sa828419"
"John Silviano","Marlins (A)","21","171",".275","1.81","20.8 %","51.0 %","28.1 %","11.1 %","29.6 %","54.0 %","23.0 %","23.0 %","11.5 %","269","416","685","sa658243"
"Yerald Martinez","Brewers (R)","20","214",".293","1.26","21.4 %","43.9 %","34.7 %","23.5 %","29.4 %","48.6 %","23.8 %","27.6 %","15.1 %","303","559","862","sa736658"
"Miguel Sano","Twins (AAA)","23","30",".154","0.86","13.3 %","40.0 %","46.7 %","14.3 %","28.6 %","33.3 %","33.3 %","33.3 %","13.8 %","48","75","123","12164"
"Dae-Ho Lee","Mariners (AAA)","34","29",".522","1.71","24.0 %","48.0 %","28.0 %","0.0 %","28.6 %","44.0 %","28.0 %","28.0 %","6.1 %","41","73","114","18722"
"Enrique Felix","White Sox (R)","17","109",".264","4.57","27.8 %","59.3 %","13.0 %","14.3 %","28.6 %","45.5 %","12.7 %","41.8 %","53.9 %","39","193","232","sa916995"
"Wander Javier","Twins (R)","17","30",".316","0.86","35.0 %","30.0 %","35.0 %","42.9 %","28.6 %","47.6 %","28.6 %","23.8 %","25.9 %","18","36","54","sa917168"
"Eliezer Alfonzo","- - -","37","355",".375","1.38","26.9 %","42.4 %","30.7 %","18.5 %","28.4 %","49.8 %","20.7 %","29.5 %","15.3 %","372","821","1193","2331"
"Telvin Nash","White Sox (A+)","25","188",".333","0.77","21.6 %","34.1 %","44.3 %","2.6 %","28.2 %","49.4 %","27.0 %","23.6 %","12.4 %","350","443","793","sa501240"
"Jeff Gardner","Nationals (A)","24","28",".143","0.36","6.3 %","25.0 %","68.8 %","36.4 %","27.3 %","47.1 %","29.4 %","23.5 %","9.6 %","45","70","115","sa827127"
"Ryan January","Diamondbacks (R)","19","213",".364","1.38","25.4 %","43.2 %","31.4 %","10.8 %","27.0 %","44.6 %","25.6 %","29.8 %","15.2 %","329","501","830","sa918104"
"Sandber Pimentel","Athletics (A+)","21","485",".310","1.77","19.4 %","51.5 %","29.1 %","16.7 %","26.9 %","43.4 %","23.4 %","33.2 %","17.9 %","729","1060","1789","sa657209"
"Erisbel Arruebarrena","Dodgers (AA)","26","58",".200","0.80","15.6 %","37.5 %","46.9 %","26.7 %","26.7 %","37.1 %","48.6 %","14.3 %","17.8 %","80","145","225","15809"
"Derek Fisher","- - -","22","566",".331","2.14","20.6 %","54.1 %","25.3 %","17.5 %","26.3 %","51.4 %","23.1 %","25.5 %","10.1 %","993","1348","2341","16192"
"Jaylin Davis","- - -","21","270",".331","1.13","12.2 %","46.6 %","41.2 %","16.4 %","26.2 %","38.2 %","29.0 %","32.9 %","20.4 %","376","639","1015","sa875397"
"Ehire Adrianza","- - -","26","73",".255","0.96","25.0 %","36.7 %","38.3 %","43.5 %","26.1 %","44.3 %","29.5 %","26.2 %","9.2 %","97","152","249","8418"
"Daniel Palka","- - -","24","568",".324","0.98","18.2 %","40.6 %","41.2 %","18.3 %","26.0 %","41.9 %","28.6 %","29.5 %","16.7 %","867","1381","2248","14897"
"Bradley Jones","Blue Jays (R)","21","256",".349","1.16","17.3 %","44.4 %","38.3 %","17.7 %","25.8 %","57.1 %","14.9 %","28.0 %","35.6 %","90","393","483","sa918500"
"Brian Sanchez","Cardinals (R)","20","275",".420","0.78","34.0 %","28.9 %","37.1 %","23.7 %","25.4 %","48.2 %","27.4 %","24.4 %","32.3 %","137","358","495","sa872475"
"Chris Owings","- - -","24","27",".611","1.00","55.6 %","22.2 %","22.2 %","25.0 %","25.0 %","15.8 %","21.1 %","63.2 %","8.9 %","34","56","90","10030"
"Bryan Holaday","Rangers (AAA)","28","38",".391","1.25","28.0 %","40.0 %","32.0 %","25.0 %","25.0 %","64.0 %","24.0 %","12.0 %","12.7 %","41","85","126","11287"
"Yasmani Grandal","Dodgers (AAA)","27","13",".333","0.25","28.6 %","14.3 %","57.1 %","0.0 %","25.0 %","28.6 %","42.9 %","28.6 %","7.4 %","25","29","54","11368"
"Bruce Maxwell","Athletics (AAA)","25","219",".354","2.08","20.6 %","53.5 %","25.8 %","0.0 %","25.0 %","43.3 %","27.4 %","29.3 %","7.8 %","339","538","877","13866"
"Jose Bautista","- - -","35","14",".100","1.75","0.0 %","63.6 %","36.4 %","25.0 %","25.0 %","45.5 %","36.4 %","18.2 %","4.8 %","24","38","62","1887"
"Alex Gordon","- - -","32","27",".467","0.75","56.3 %","18.8 %","25.0 %","0.0 %","25.0 %","56.3 %","31.3 %","12.5 %","5.0 %","58","63","121","5209"
"Shane Peterson","Brewers (AAA)","28","57",".467","1.08","21.9 %","40.6 %","37.5 %","0.0 %","25.0 %","29.4 %","38.2 %","32.4 %","20.0 %","75","130","205","7423"
"Alex Avila","White Sox (AAA)","29","30",".438","2.25","23.5 %","52.9 %","23.5 %","0.0 %","25.0 %","35.3 %","41.2 %","23.5 %","13.7 %","49","68","117","7476"
"Matt Clark","Mexican (AAA)","29","18",".182","1.25","25.0 %","41.7 %","33.3 %","50.0 %","25.0 %","41.7 %","25.0 %","33.3 %","19.7 %","27","39","66","8793"
"Michael Burgess","Mexican (AAA)","27","31",".231","1.75","21.4 %","50.0 %","28.6 %","0.0 %","25.0 %","28.6 %","50.0 %","21.4 %","16.6 %","55","84","139","sa389928"
"Kevin Cornelius","- - -","23","229",".351","1.13","22.4 %","41.3 %","36.4 %","9.6 %","25.0 %","50.0 %","26.4 %","23.6 %","14.4 %","292","470","762","sa602665"
"Mason Katz","- - -","25","70",".318","2.08","19.6 %","54.3 %","26.1 %","8.3 %","25.0 %","51.1 %","23.4 %","25.5 %","10.3 %","117","184","301","sa621660"
"Jefrey Souffront","Dodgers (R)","19","121",".377","1.45","22.2 %","46.0 %","31.7 %","15.0 %","25.0 %","43.9 %","22.7 %","33.3 %","49.0 %","48","199","247","sa872529"
"Anibal Sierra","Astros (R)","22","101",".404","2.75","38.8 %","44.9 %","16.3 %","37.5 %","25.0 %","51.9 %","23.1 %","25.0 %","28.6 %","68","107","175","sa908626"
"Dustin Martin","Mexican (AAA)","32","479",".375","1.94","28.7 %","47.0 %","24.3 %","15.6 %","24.7 %","52.8 %","22.5 %","24.7 %","9.7 %","801","1087","1888","sa328277"
"Brett Eibner","- - -","27","237",".336","1.27","23.4 %","42.8 %","33.8 %","12.2 %","24.5 %","44.9 %","26.5 %","28.6 %","9.0 %","405","584","989","11369"
"Jeff Diehl","Mets (A)","22","233",".336","1.43","23.7 %","44.9 %","31.4 %","10.8 %","24.3 %","34.2 %","28.5 %","37.4 %","13.9 %","359","592","951","sa599249"
"Oscar Gonzalez","- - -","18","159",".434","1.27","16.7 %","46.7 %","36.7 %","15.2 %","24.2 %","52.8 %","20.9 %","26.4 %","41.9 %","54","278","332","sa872782"
"Xavier Scruggs","Marlins (AAA)","28","382",".343","1.09","18.4 %","42.6 %","39.0 %","13.8 %","24.1 %","50.4 %","24.1 %","25.4 %","9.7 %","667","856","1523","7409"
"Travis Demeritte","- - -","21","530",".363","0.79","24.6 %","33.2 %","42.1 %","24.6 %","23.7 %","46.7 %","24.6 %","28.8 %","16.8 %","761","1236","1997","sa737533"
"Kevan Smith","- - -","28","212",".225","1.90","24.2 %","49.7 %","26.2 %","5.1 %","23.1 %","42.5 %","26.1 %","31.4 %","9.9 %","322","486","808","12284"
"A.J. Pollock","- - -","28","47",".400","1.23","23.7 %","42.1 %","34.2 %","15.4 %","23.1 %","42.1 %","21.1 %","36.8 %","3.2 %","70","86","156","9256"
"Hector Sanchez","- - -","26","230",".317","0.88","22.0 %","36.5 %","41.5 %","18.2 %","22.7 %","53.1 %","23.1 %","23.8 %","11.4 %","321","523","844","10289"
"Juan Apodaca","Mexican (AAA)","29","402",".353","2.34","26.9 %","51.2 %","21.9 %","22.6 %","22.6 %","45.1 %","20.8 %","34.0 %","9.0 %","633","894","1527","sa286639"
"David Washington","- - -","25","493",".350","0.53","19.9 %","27.7 %","52.3 %","16.4 %","22.4 %","39.8 %","31.6 %","28.5 %","13.5 %","868","1266","2134","12110"
"J.D. Davis","Astros (AA)","23","539",".331","1.44","26.6 %","43.3 %","30.1 %","21.4 %","22.3 %","48.4 %","26.2 %","25.4 %","15.6 %","762","1258","2020","16219"
"Leland Clemmons","- - -","23","28",".308","0.44","13.3 %","26.7 %","60.0 %","11.1 %","22.2 %","46.7 %","33.3 %","20.0 %","24.4 %","33","53","86","sa834449"
"Mariano Calcano","Twins (R)","19","115",".293","1.44","25.4 %","44.1 %","30.5 %","61.1 %","22.2 %","56.7 %","21.7 %","21.7 %","40.9 %","46","179","225","sa917172"
"Joey Gallo","Rangers (AAA)","22","433",".330","0.48","19.7 %","26.0 %","54.3 %","21.2 %","22.1 %","48.3 %","19.1 %","32.5 %","18.6 %","718","1043","1761","14128"
"Chris Gittens","Yankees (A)","22","451",".318","1.31","14.1 %","48.6 %","37.3 %","16.8 %","22.1 %","34.0 %","24.7 %","41.3 %","12.7 %","745","1119","1864","sa829048"
"Ryan Schimpf","Padres (AAA)","28","190",".370","0.63","17.2 %","32.1 %","50.7 %","19.1 %","22.1 %","44.4 %","28.2 %","27.4 %","8.6 %","297","491","788","9953"
"Austin Wilson","Mariners (A+)","24","435",".348","1.83","18.5 %","52.7 %","28.8 %","27.1 %","22.0 %","41.4 %","20.5 %","38.1 %","16.6 %","673","1040","1713","sa549103"
"Roberto Ramos","- - -","21","148",".378","1.34","22.7 %","44.3 %","33.0 %","6.3 %","21.9 %","43.3 %","25.8 %","30.9 %","15.1 %","208","342","550","sa829199"
"Adam Brett Walker","Twins (AAA)","24","531",".348","0.77","21.1 %","34.4 %","44.4 %","25.8 %","21.8 %","48.8 %","25.1 %","26.2 %","21.9 %","758","1366","2124","sa621791"
"Matt Chapman","- - -","23","589",".278","0.61","21.4 %","29.9 %","48.7 %","23.5 %","21.7 %","44.4 %","29.3 %","26.4 %","14.2 %","905","1470","2375","16505"
"Michael Medina","- - -","19","71",".231","0.71","11.1 %","37.0 %","51.9 %","21.4 %","21.4 %","48.3 %","20.7 %","31.0 %","43.3 %","49","152","201","sa736971"
"Conner Simonetti","Nationals (R)","21","171",".388","1.89","21.4 %","51.5 %","27.2 %","7.1 %","21.4 %","52.9 %","23.1 %","24.0 %","41.4 %","61","277","338","sa738691"
"Edwin Rios","- - -","22","451",".346","0.71","29.5 %","29.2 %","41.3 %","20.6 %","21.4 %","43.6 %","27.1 %","29.3 %","16.6 %","509","1078","1587","sa827170"
"Maxwell Morales","Rangers (R)","18","247",".295","1.36","28.3 %","41.3 %","30.4 %","21.4 %","21.4 %","49.0 %","23.1 %","28.0 %","27.8 %","198","335","533","sa917279"
"Tony Pena","Rays (R)","18","128",".403","2.43","34.2 %","46.6 %","19.2 %","57.1 %","21.4 %","42.1 %","21.1 %","36.8 %","32.3 %","72","160","232","sa922560"
"DJ Peters","Dodgers (R)","20","302",".432","1.34","22.3 %","44.6 %","33.2 %","16.4 %","21.3 %","46.2 %","20.3 %","33.5 %","12.2 %","481","738","1219","sa829712"
"Mario Valenzuela","Mexican (AAA)","39","128",".398","1.36","21.2 %","45.5 %","33.3 %","33.3 %","21.2 %","51.0 %","24.0 %","25.0 %","12.2 %","141","285","426","sa206418"
"Jabari Blash","Padres (AAA)","26","229",".340","0.69","21.4 %","32.1 %","46.4 %","21.2 %","21.2 %","50.0 %","28.1 %","21.9 %","14.1 %","429","559","988","11247"
"Matt Tuiasosopo","Braves (AAA)","30","248",".313","1.15","20.0 %","42.9 %","37.1 %","26.9 %","21.2 %","42.3 %","27.5 %","30.3 %","12.5 %","423","620","1043","8272"
"Brett Harper","- - -","34","381",".358","0.95","19.1 %","39.4 %","41.4 %","14.4 %","21.2 %","40.8 %","25.9 %","33.3 %","13.4 %","601","919","1520","sa200434"
"Chris Iriart","- - -","21","394",".292","0.78","21.6 %","34.3 %","44.1 %","18.3 %","21.2 %","45.2 %","25.3 %","29.5 %","18.0 %","492","910","1402","sa875590"
"Jake Jarvis","White Sox (R)","21","90",".288","1.58","18.3 %","50.0 %","31.7 %","36.8 %","21.1 %","47.7 %","21.5 %","30.8 %","11.9 %","86","174","260","sa829128"
"Michael Arroyo","Royals (R)","20","82",".212","1.53","14.3 %","51.8 %","33.9 %","21.1 %","21.1 %","53.6 %","26.8 %","19.6 %","18.7 %","34","116","150","sa829405"
"Juan Araujo","- - -","18","214",".308","1.13","20.6 %","42.2 %","37.3 %","31.6 %","21.1 %","51.3 %","20.9 %","27.8 %","41.6 %","87","355","442","sa872456"
"Bobby Bradley","Indians (A+)","20","572",".293","0.80","21.0 %","35.0 %","43.9 %","12.3 %","21.0 %","49.1 %","27.6 %","23.3 %","15.9 %","882","1325","2207","sa828799"
"Michael Choice","Indians (AAA)","26","276",".302","1.04","18.5 %","41.7 %","39.9 %","22.4 %","20.9 %","49.7 %","26.0 %","24.3 %","15.6 %","346","664","1010","11376"
"Tom Murphy","Rockies (AAA)","25","322",".386","0.92","21.5 %","37.7 %","40.8 %","13.2 %","20.9 %","39.8 %","35.0 %","25.2 %","14.1 %","409","794","1203","13499"
"Amaurys Minier","Twins (R)","20","192",".281","0.81","15.5 %","37.9 %","46.6 %","14.6 %","20.8 %","51.9 %","22.6 %","25.5 %","29.5 %","111","303","414","sa737540"
"Conor Bierfeldt","- - -","25","337",".273","0.79","22.9 %","34.1 %","43.0 %","27.1 %","20.8 %","54.6 %","25.5 %","19.9 %","9.6 %","485","855","1340","sa738591"
"Kyle Jensen","Diamondbacks (AAA)","28","555",".373","0.75","23.5 %","32.8 %","43.7 %","15.9 %","20.7 %","45.4 %","29.1 %","25.5 %","13.0 %","828","1378","2206","7706"
"Travis Denker","Diamondbacks (AA)","30","257",".311","1.13","23.4 %","40.6 %","36.0 %","17.5 %","20.6 %","48.6 %","20.3 %","31.1 %","5.8 %","450","662","1112","6155"
"Dylan Davis","- - -","22","545",".324","1.17","23.7 %","41.2 %","35.1 %","19.0 %","20.6 %","40.9 %","29.8 %","29.3 %","10.8 %","778","1292","2070","sa709037"
"Justin Seager","- - -","24","332",".250","1.41","20.4 %","46.6 %","33.0 %","23.8 %","20.6 %","46.5 %","25.7 %","27.7 %","15.0 %","425","754","1179","sa737926"
"Marc Krauss","Mets (AAA)","28","272",".252","0.88","15.2 %","39.7 %","45.0 %","25.0 %","20.6 %","52.6 %","25.3 %","22.1 %","12.0 %","453","651","1104","7577"
"Cristian Santana","Dodgers (R)","19","180",".300","1.54","22.0 %","47.2 %","30.7 %","23.1 %","20.5 %","47.3 %","29.5 %","23.3 %","40.2 %","33","273","306","sa829387"
"Willson Contreras","Cubs (AAA)","24","240",".382","2.16","18.2 %","55.9 %","25.9 %","18.2 %","20.5 %","42.2 %","27.2 %","30.6 %","9.5 %","346","546","892","11609"
"David Dahl","- - -","22","400",".388","1.18","22.6 %","41.9 %","35.5 %","11.4 %","20.5 %","30.9 %","30.1 %","39.1 %","13.6 %","578","977","1555","13744"
"T.J. Bennett","- - -","23","268",".365","1.86","23.6 %","49.7 %","26.7 %","6.8 %","20.5 %","47.3 %","25.4 %","27.2 %","15.9 %","344","597","941","sa917904"
"Alex Valdez","Mexican (AAA)","31","480",".311","0.76","21.1 %","33.9 %","45.0 %","22.4 %","20.4 %","43.8 %","27.5 %","28.7 %","8.3 %","762","1202","1964","sa254456"
"Junior Arias","- - -","24","265",".338","1.33","21.3 %","45.0 %","33.8 %","27.8 %","20.4 %","62.3 %","22.8 %","15.0 %","16.1 %","326","648","974","sa506265"
"Mario Lisson","Mexican (AAA)","32","493",".353","1.84","22.8 %","50.0 %","27.2 %","41.8 %","20.3 %","52.6 %","22.9 %","24.6 %","11.6 %","900","1197","2097","sa202240"
"Austin Slater","- - -","23","450",".354","1.72","18.5 %","51.5 %","30.0 %","12.4 %","20.2 %","34.3 %","26.4 %","39.3 %","8.2 %","696","1088","1784","16153"
"Javier Baez","Cubs (AAA)","23","15",".300","1.20","0.0 %","54.5 %","45.5 %","20.0 %","20.0 %","36.4 %","27.3 %","36.4 %","9.6 %","17","35","52","12979"
"Yasiel Puig","- - -","25","90",".369","1.28","18.6 %","45.7 %","35.7 %","16.0 %","20.0 %","47.1 %","31.4 %","21.4 %","11.0 %","124","194","318","14225"
"Roger Kieschnick","Mexican (AAA)","29","90",".255","1.25","15.1 %","47.2 %","37.7 %","10.0 %","20.0 %","61.8 %","12.7 %","25.5 %","15.9 %","136","235","371","5225"
"Chris Dickerson","Orioles (AA)","34","65",".400","1.20","21.4 %","42.9 %","35.7 %","6.7 %","20.0 %","34.9 %","41.9 %","23.3 %","13.4 %","88","151","239","7095"
"Matt Adams","Cardinals (AAA)","27","20",".167","0.80","18.2 %","36.4 %","45.5 %","20.0 %","20.0 %","61.5 %","7.7 %","30.8 %","7.2 %","37","46","83","9393"
"Chris Jacobs","Cardinals (AA)","27","121",".282","1.85","21.9 %","50.7 %","27.4 %","20.0 %","20.0 %","45.5 %","22.1 %","32.5 %","17.8 %","151","311","462","sa389213"
"Oscar Lemus","Mexican (AAA)","29","59",".317","2.40","20.9 %","55.8 %","23.3 %","30.0 %","20.0 %","60.5 %","11.6 %","27.9 %","12.2 %","77","145","222","sa509465"
"Will Swanner","Rockies (AAA)","24","35",".294","1.80","17.6 %","52.9 %","29.4 %","0.0 %","20.0 %","27.8 %","11.1 %","61.1 %","18.5 %","58","88","146","sa549202"
"Gilberto Galaviz","- - -","24","54",".293","5.40","23.8 %","64.3 %","11.9 %","40.0 %","20.0 %","60.5 %","18.6 %","20.9 %","5.8 %","58","114","172","sa597945"
"Jose Pujols","Phillies (A)","20","549",".322","1.14","18.7 %","43.4 %","38.0 %","18.3 %","20.0 %","49.1 %","25.2 %","25.8 %","17.6 %","763","1369","2132","sa739662"
"Hendrik Clementina","Dodgers (R)","19","175",".252","1.97","23.3 %","50.9 %","25.9 %","16.7 %","20.0 %","43.6 %","20.5 %","35.9 %","27.7 %","73","248","321","sa828422"
"Joel Fisher","- - -","23","42",".333","0.80","18.2 %","36.4 %","45.5 %","10.0 %","20.0 %","73.9 %","13.0 %","13.0 %","20.1 %","57","97","154","sa829352"
"Travis Maezes","Royals (A)","22","338",".272","0.91","16.9 %","39.5 %","43.6 %","16.0 %","20.0 %","44.0 %","28.0 %","28.0 %","17.4 %","458","836","1294","sa857704"
"Joe Dudek","Royals (R)","21","128",".423","1.13","16.9 %","44.2 %","39.0 %","10.0 %","20.0 %","39.0 %","33.8 %","27.3 %","9.0 %","247","286","533","sa872720"
"Seuly Matias","- - -","17","225",".373","1.15","17.3 %","44.2 %","38.5 %","10.0 %","20.0 %","48.2 %","25.0 %","26.9 %","44.6 %","122","371","493","sa917039"
"Rhys Hoskins","Phillies (AA)","23","589",".297","0.61","17.0 %","31.4 %","51.6 %","13.1 %","19.9 %","46.6 %","27.8 %","25.7 %","9.1 %","961","1370","2331","16472"
"Carlos Castro","Braves (A)","22","322",".300","1.13","18.3 %","43.3 %","38.4 %","26.7 %","19.8 %","44.7 %","30.1 %","25.2 %","16.3 %","321","743","1064","sa657241"
"Tripp Martin","Rangers (A+)","24","273",".258","0.68","14.6 %","34.6 %","50.8 %","34.8 %","19.7 %","60.5 %","26.1 %","13.4 %","25.2 %","303","613","916","sa829478"
"Cody Decker","- - -","29","335",".280","0.69","18.0 %","33.5 %","48.5 %","24.7 %","19.6 %","56.7 %","23.7 %","19.7 %","20.7 %","477","871","1348","9665"
