"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Heriberto Salas","- - -","31","202",".246","1.11","15.8 %","44.2 %","40.0 %","30.3 %","1.5 %","53.5 %","23.0 %","23.6 %","3.7 %","265","475","740","sa185512"
"Guillermo Reyes","Diamondbacks (AA)","26","318",".292","1.80","18.9 %","52.2 %","28.9 %","19.7 %","1.5 %","50.0 %","24.2 %","25.8 %","19.5 %","130","377","507","sa198413"
"Manny Mayorson","- - -","25","483",".320","1.56","16.1 %","51.1 %","32.8 %","20.5 %","1.5 %","42.8 %","25.7 %","31.6 %","8.3 %","185","542","727","sa199056"
"Brent Brewer","- - -","20","504",".308","0.99","19.8 %","39.9 %","40.2 %","21.2 %","1.5 %","40.9 %","26.4 %","32.8 %","23.9 %","197","690","887","sa326534"
"Jason Tweedy","Rays (A-)","21","300",".363","1.41","14.1 %","50.3 %","35.7 %","7.6 %","1.5 %","41.4 %","24.6 %","34.0 %","29.1 %","153","403","556","sa454593"
"Luis Martinez","Phillies (R)","18","228",".322","1.20","12.1 %","47.9 %","40.0 %","18.2 %","1.5 %","52.3 %","22.1 %","25.6 %","26.0 %","59","291","350","sa504862"
"Cesar Hernandez","Phillies (R)","18","234",".347","1.27","13.1 %","48.6 %","38.3 %","13.4 %","1.5 %","48.9 %","20.8 %","30.3 %","14.5 %","142","244","386","10556"
"Ben Revere","Twins (A)","20","374",".416","2.82","15.8 %","62.2 %","22.0 %","7.5 %","1.5 %","36.7 %","29.6 %","33.8 %","15.5 %","121","414","535","4712"
"Jesus Alfredo Arredondo","Mexican (AAA)","36","289",".285","1.64","15.7 %","52.4 %","31.9 %","25.4 %","1.5 %","44.0 %","20.6 %","35.3 %","4.4 %","463","705","1168","sa185120"
"Tony Mansolino","- - -","25","265",".217","1.49","12.1 %","52.6 %","35.3 %","19.4 %","1.5 %","50.5 %","20.7 %","28.8 %","29.3 %","61","355","416","sa293725"
"Hector Casillas","Mexican (AAA)","25","217",".265","1.13","19.7 %","42.7 %","37.6 %","40.3 %","1.5 %","46.2 %","23.9 %","29.9 %","9.4 %","198","496","694","sa3001349"
"Sean Danielson","- - -","25","385",".359","1.97","19.2 %","53.6 %","27.2 %","20.6 %","1.5 %","33.6 %","29.7 %","36.7 %","12.1 %","432","837","1269","sa291797"
"Jose Castro","- - -","21","455",".257","3.53","18.9 %","63.2 %","17.9 %","23.5 %","1.5 %","42.7 %","18.6 %","38.7 %","14.1 %","74","509","583","sa294093"
"Frederick Parejo","Cardinals (A-)","17","229",".324","1.09","15.0 %","44.3 %","40.7 %","25.0 %","1.5 %","45.2 %","21.5 %","33.3 %","23.8 %","70","291","361","sa396229"
"Chris Curran","Nationals (R)","20","243",".372","1.10","12.3 %","46.0 %","41.7 %","25.0 %","1.5 %","41.2 %","29.4 %","29.4 %","16.8 %","119","285","404","sa455157"
"Rolando Petit","Indians (R)","18","230",".313","0.66","9.6 %","36.0 %","54.4 %","26.5 %","1.5 %","43.5 %","30.5 %","26.0 %","31.7 %","175","359","534","sa502608"
"Cliff Pennington","- - -","24","539",".328","1.11","21.0 %","41.5 %","37.4 %","27.0 %","1.5 %","49.1 %","20.6 %","30.3 %","5.1 %","954","1329","2283","3395"
"Danny Santana","Twins (R)","17","219",".329","0.93","9.5 %","43.5 %","46.9 %","21.7 %","1.4 %","38.1 %","35.0 %","26.9 %","28.3 %","94","277","371","10322"
"Luis Oliveros","- - -","25","212",".315","0.83","22.2 %","35.2 %","42.6 %","33.3 %","1.4 %","45.8 %","23.2 %","31.0 %","12.4 %","121","354","475","sa199167"
"Nelson Pierre","Cubs (R)","20","223",".272","0.99","12.7 %","43.3 %","43.9 %","33.3 %","1.4 %","40.4 %","31.3 %","28.3 %","29.4 %","86","288","374","sa3001482"
"Manuel Soliman","Twins (R)","18","223",".257","0.90","10.3 %","42.5 %","47.3 %","31.9 %","1.4 %","47.7 %","26.2 %","26.2 %","24.1 %","132","267","399","sa506790"
