"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Reggie Keen","Brewers (A+)","24","530","6.2 %","16.8 %","0.37",".252",".300",".331",".631",".078","6.9",".302","1.0","49","-12.5",".294","80","sa549600"
"Tsuyoshi Nishioka","Twins (AAA)","27","431","7.4 %","12.3 %","0.60",".258",".315",".324",".639",".066","3.5",".293","-1.5","38","-10.7",".294","78","11531"
"Raul Navarro","Diamondbacks (A)","20","250","8.8 %","12.4 %","0.71",".249",".325",".290",".615",".041","6.0",".286","-0.2","24","-5.9",".294","80","sa506772"
"Adam McConnell","- - -","22","64","9.4 %","25.0 %","0.38",".246",".313",".298",".611",".053","3.2",".333","-0.3","6","-2.5",".294","69","sa599317"
"Geulin Beltre","Royals (A+)","21","461","6.9 %","21.3 %","0.33",".243",".303",".337",".640",".095","5.7",".306","-1.9","43","-11.7",".294","79","sa463212"
"Yoanner Negrin","- - -","28","8","12.5 %","50.0 %","0.25",".167",".286",".333",".619",".167","2.6",".500","0.0","1","-0.5",".294","60","sa608348"
"Mykal Stokes","- - -","22","19","15.8 %","10.5 %","1.50",".214",".333",".286",".619",".071","0.6",".231","0.0","2","-0.5",".294","74","sa503621"
"Cristian Paulino","Giants (R)","20","106","5.7 %","22.6 %","0.25",".247",".298",".320",".618",".072","8.4",".329","1.1","11","-4.8",".294","70","sa547810"
"Yomifer Polanco","Pirates (R)","19","160","7.5 %","16.3 %","0.46",".214",".287",".300",".587",".086","6.2",".252","0.0","15","-5.0",".294","75","sa601457"
"Daniel Lopez","Yankees (A-)","20","203","9.9 %","24.6 %","0.40",".237",".320",".282",".602",".045","7.2",".328","1.6","19","-3.4",".294","85","sa509491"
"Jean Acevedo","- - -","21","147","7.5 %","15.0 %","0.50",".224",".303",".312",".615",".088","5.4",".255","0.6","14","-3.9",".294","78","sa504778"
"Jiandido Tromp","- - -","18","154","7.1 %","29.2 %","0.24",".206",".270",".353",".623",".147","7.4",".283","-0.8","14","-2.6",".294","85","sa659194"
"Wynston Sawyer","Orioles (A)","20","337","11.6 %","15.4 %","0.75",".221",".318",".291",".608",".069","2.2",".258","-0.4","32","-10.5",".294","75","sa548430"
"Kyle Rose","Braves (A+)","23","97","8.2 %","18.6 %","0.44",".226",".309",".321",".630",".095","7.9",".288","-0.3","9","-2.5",".294","79","sa501561"
"Justin Boudreaux","- - -","22","313","9.6 %","23.6 %","0.41",".201",".304",".312",".617",".112","7.2",".263","0.4","31","-12.1",".294","69","sa599156"
"Jarek Cunningham","Pirates (AA)","22","415","8.9 %","26.7 %","0.33",".217",".300",".337",".637",".120","4.3",".293","-0.6","36","-11.4",".294","76","sa455364"
"Connor Powers","- - -","24","402","8.0 %","26.9 %","0.30",".228",".294",".365",".659",".137","3.6",".293","0.2","39","-15.8",".294","71","sa501631"
"Daniel Lockhart","Cubs (R)","19","213","8.5 %","12.7 %","0.67",".221",".302",".305",".607",".084","8.5",".253","0.5","22","-9.7",".294","70","sa598065"
"Luis Barahona","Padres (R)","18","184","7.6 %","18.5 %","0.41",".217",".282",".307",".589",".090","8.7",".273","1.0","17","-5.7",".293","75","sa597225"
"Anderso Bolivar","Diamondbacks (R)","19","79","5.1 %","10.1 %","0.50",".247",".291",".356",".647",".110","4.4",".262","0.0","8","-3.6",".293","69","sa550526"
"Dee Gordon","Dodgers (AAA)","24","32","6.3 %","9.4 %","0.67",".267",".313",".333",".646",".067","7.0",".296","-0.1","3","-1.4",".293","68","8203"
"Blake Davis","Orioles (AAA)","28","390","6.4 %","15.6 %","0.41",".251",".299",".346",".646",".096","5.5",".293","1.1","35","-9.8",".293","78","5812"
"Chase Utley","- - -","33","43","7.0 %","16.3 %","0.43",".189",".279",".351",".630",".162","4.2",".172","0.2","4","-1.0",".293","80","1679"
"Shawn O'Malley","- - -","24","391","8.7 %","18.7 %","0.47",".240",".315",".309",".624",".068","7.9",".296","1.8","34","-10.4",".293","77","9629"
"Jose Iglesias","- - -","22","405","6.9 %","11.6 %","0.60",".269",".321",".310",".631",".042","5.2",".302","1.2","36","-10.2",".293","78","10231"
"Pedro Guerrero","- - -","23","347","4.6 %","28.2 %","0.16",".220",".265",".387",".652",".166","6.6",".281","0.9","33","-9.1",".293","79","sa455728"
"Zack MacPhee","Indians (A)","22","281","11.7 %","17.4 %","0.67",".222",".319",".297",".616",".075","4.4",".268","-2.3","27","-6.8",".293","80","sa455455"
"Jesus Feliciano","Rays (AAA)","33","467","5.4 %","9.2 %","0.58",".270",".312",".326",".638",".056","4.1",".295","0.2","41","-11.8",".293","78","2448"
"Kenny Diekroeger","Royals (R)","21","222","8.1 %","27.0 %","0.30",".208",".275",".366",".641",".158","5.2",".252","0.9","22","-6.2",".293","78","sa500843"
"Shawn Duinkerk","Athletics (R)","17","108","9.3 %","28.7 %","0.32",".206",".280",".351",".631",".144","6.2",".281","-0.4","11","-5.0",".293","69","sa601944"
"Jordan Scott","Astros (A)","20","480","11.9 %","16.9 %","0.70",".230",".325",".280",".604",".050","4.8",".281","-2.8","45","-15.2",".293","75","sa549122"
"Justin Gominsky","- - -","22","399","8.5 %","18.0 %","0.47",".237",".311",".306",".617",".069","4.8",".290","0.4","37","-12.2",".293","75","sa547010"
