"Name","Team","Age","PA","BB%","K%","BB/K","AVG","OBP","SLG","OPS","ISO","Spd","BABIP","wSB","wRC","wRAA","wOBA","wRC+","playerid"
"Keston Hiura","- - -","20","187","7.0 %","19.8 %","0.35",".371",".422",".611","1.033",".240","5.7",".450","-0.6","43","19.1",".455","177","sa3004043"
"Max Hogan","Orioles (R)","23","167","19.2 %","10.2 %","1.88",".310",".452",".519",".971",".209","6.3",".339","-0.1","36","15.4",".454","175","sa3004521"
"Aldo Espinoza","Dodgers (R)","18","58","8.6 %","12.1 %","0.71",".373",".448",".490",".938",".118","7.3",".432","0.7","12","5.0",".454","170","sa917334"
"Austin Gomber","Cardinals (AA)","23","15","0.0 %","20.0 %","0.00",".467",".467",".533","1.000",".067","0.4",".583","0.0","3","1.5",".453","186","16561"
"Rolando Lebron","Dodgers (R)","19","167","9.0 %","19.8 %","0.45",".343",".434",".490",".923",".147","7.8",".430","0.1","35","14.3",".453","169","sa917478"
"Evan Phillips","- - -","22","2","0.0 %","50.0 %","0.00",".500",".500",".500","1.000",".000","0.1","1.000","0.0","0","0.2",".453","201","17734"
"Justin Hancock","- - -","26","2","0.0 %","50.0 %","0.00",".500",".500",".500","1.000",".000","0.1","1.000","0.0","0","0.2",".451","173","12316"
"Trey Nielsen","- - -","25","2","0.0 %","50.0 %","0.00",".500",".500",".500","1.000",".000","2.6","1.000","0.0","0","0.2",".451","173","sa550155"
"Alberto Baldonado","Mets (AAA)","24","2","0.0 %","0.0 %","0.00",".500",".500",".500","1.000",".000","2.6",".500","0.0","0","0.2",".451","173","sa550649"
"Kevin Herget","- - -","26","10","0.0 %","10.0 %","0.00",".500",".500",".500","1.000",".000","2.6",".571","0.0","2","1.0",".451","173","sa738986"
"Cody Bellinger","- - -","21","81","11.1 %","28.4 %","0.39",".343",".420",".657","1.077",".314","6.2",".429","1.4","18","7.7",".450","172","15998"
"Taylor Motter","Mariners (AAA)","27","117","12.0 %","10.3 %","1.17",".350",".427",".640","1.067",".290","6.4",".337","-0.2","27","11.1",".450","172","12399"
"Ramon Urias","Mexican (AAA)","23","461","8.9 %","16.3 %","0.55",".340",".433",".577","1.011",".237","5.7",".380","-1.7","99","38.3",".449","164","sa597169"
"Darrell Miller","Royals (R)","23","220","11.4 %","11.4 %","1.00",".376",".459",".554","1.013",".177","2.3",".409","0.3","53","17.1",".449","148","sa658990"
"Leury Garcia","- - -","26","15","6.7 %","13.3 %","0.50",".308",".333",".769","1.103",".462","2.1",".200","-0.5","3","1.5",".448","166","5913"
"Stephen Perakslis","- - -","26","8","0.0 %","62.5 %","0.00",".375",".375",".625","1.000",".250","1.6","1.000","0.0","2","0.6",".447","194","sa621679"
"Jose Layer","Giants (R)","20","49","14.3 %","10.2 %","1.40",".375",".468",".475",".943",".100","3.2",".429","-0.6","11","4.3",".445","164","sa918284"
"Jhailyn Ortiz","Phillies (A-)","18","187","9.6 %","25.1 %","0.38",".302",".401",".560",".961",".258","5.6",".381","0.6","38","17.4",".445","185","sa920180"
"Yeltsin Encarnacion","Twins (R)","19","177","12.4 %","11.3 %","1.10",".318",".408",".523",".931",".205","6.7",".357","-0.7","36","14.2",".445","165","sa875336"
"Lance Jones","Blue Jays (A-)","24","31","6.5 %","16.1 %","0.40",".423",".467",".500",".967",".077","5.6",".500","0.2","7","2.9",".445","173","sa876262"
"Luis Santana","Mets (R)","17","287","11.8 %","7.7 %","1.55",".325",".430",".481",".911",".156","7.9",".346","2.0","59","23.0",".445","165","sa921577"
"Franklin Tineo","Cubs (R)","22","242","16.1 %","17.4 %","0.93",".295",".427",".482",".909",".187","4.2",".351","-0.8","49","19.4",".445","165","sa828342"
"Samuel Inoa","Pirates (R)","18","151","13.9 %","13.9 %","1.00",".316",".433",".487",".921",".171","5.6",".354","-0.8","31","12.1",".445","165","sa917365"
"Manuel Guzman","Angels (R)","22","274","15.0 %","10.2 %","1.46",".360",".459",".526",".986",".167","5.9",".395","-1.6","64","20.0",".444","145","sa739471"
"Garrett Cooper","- - -","26","350","10.3 %","15.7 %","0.65",".359",".423",".634","1.057",".275","2.0",".385","-0.1","77","31.8",".444","170","15279"
"Esteury Ruiz","- - -","18","225","5.8 %","24.0 %","0.24",".350",".395",".602",".997",".252","9.4",".456","2.3","51","19.4",".443","162","sa917030"
"Luis Torres","Red Sox (R)","18","44","13.6 %","13.6 %","1.00",".342",".432",".474",".906",".132","7.0",".406","0.0","9","3.5",".443","164","sa3004821"
"Mitch Longo","- - -","22","252","10.7 %","14.7 %","0.73",".376",".448",".541",".990",".165","7.6",".433","3.6","53","23.5",".443","179","sa874178"
"Jesus Valdez","- - -","32","388","8.2 %","10.1 %","0.82",".363",".420",".586","1.006",".223","3.8",".374","-0.4","81","30.1",".443","159","sa244229"
"Bo Bichette","- - -","19","499","8.4 %","16.2 %","0.52",".362",".423",".565",".988",".203","6.4",".417","1.6","103","46.4",".443","181","sa917949"
"Angel Santos","Padres (R)","21","103","14.6 %","30.1 %","0.48",".310",".408",".586",".994",".276","9.1",".412","1.3","23","8.8",".442","162","sa872748"
"Yoel Romero","Mets (R)","19","281","11.0 %","11.4 %","0.97",".364",".439",".464",".903",".100","7.2",".407","1.0","57","22.0",".442","163","sa872524"
"Akil Baddoo","- - -","18","243","14.8 %","13.2 %","1.13",".323",".436",".527",".964",".204","7.7",".367","0.0","53","21.1",".442","164","sa917953"
"Greg Bird","- - -","24","81","19.8 %","12.3 %","1.60",".313",".444",".547",".991",".234","1.6",".327","0.0","16","7.3",".439","181","14131"
"Luis Hidalgo","- - -","21","281","6.4 %","10.0 %","0.64",".349",".406",".520",".926",".171","3.9",".368","-0.7","57","21.6",".439","161","sa826653"
"Rylan Bannon","Dodgers (R)","21","175","10.9 %","16.6 %","0.66",".336",".425",".591","1.016",".255","5.7",".360","1.2","40","11.9",".439","142","sa3004162"
