"Name","Team","Age","PA","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Matt Kramer","- - -","23","84",".273","1.04","10.2 %","45.8 %","44.1 %","26.9 %","23.1 %","62.3 %","21.3 %","16.4 %","35.0 %","24","116","140","sa462328"
"Seth Loman","- - -","23","434",".328","1.18","18.8 %","43.9 %","37.3 %","15.8 %","22.8 %","52.7 %","24.4 %","22.9 %","37.6 %","142","635","777","sa326152"
"Joseph Dunigan","Mariners (A+)","23","506",".347","1.14","11.3 %","47.2 %","41.5 %","18.9 %","22.7 %","49.1 %","23.2 %","27.7 %","33.9 %","223","842","1065","sa389233"
"Trey Manz","- - -","21","97",".367","1.18","22.6 %","41.9 %","35.5 %","18.2 %","22.7 %","33.3 %","25.8 %","40.9 %","29.2 %","40","145","185","sa502308"
"Ryan Harvey","Rockies (AA)","24","382",".274","0.88","21.6 %","36.7 %","41.6 %","24.5 %","22.5 %","56.6 %","23.3 %","20.1 %","16.6 %","514","948","1462","sa244040"
"Cristian Santana","Rangers (A)","20","340",".283","0.93","21.4 %","37.8 %","40.8 %","30.0 %","22.5 %","53.7 %","22.2 %","24.1 %","43.3 %","115","568","683","sa392969"
"Amaury Cazana","Mexican (AAA)","30","276",".412","1.41","27.1 %","42.7 %","30.2 %","20.7 %","22.4 %","40.5 %","25.1 %","34.4 %","9.4 %","414","655","1069","sa509692"
"Ruben Rivera","Mexican (AAA)","35","477",".329","0.85","20.1 %","36.6 %","43.2 %","34.0 %","22.2 %","52.5 %","23.6 %","23.9 %","8.8 %","790","947","1737","1550"
"Khris Davis","- - -","21","46",".269","1.67","11.1 %","55.6 %","33.3 %","0.0 %","22.2 %","53.6 %","21.4 %","25.0 %","26.3 %","37","62","99","9112"
"Daniel Stegall","- - -","21","49",".167","1.78","19.4 %","51.6 %","29.0 %","22.2 %","22.2 %","37.5 %","25.0 %","37.5 %","37.8 %","13","77","90","sa326842"
"Melvin Ray","Dodgers (R)","20","98",".278","2.22","17.1 %","57.1 %","25.7 %","11.1 %","22.2 %","52.6 %","23.7 %","23.7 %","58.9 %","22","204","226","sa460145"
"Daniel Rams","- - -","20","281",".393","0.95","20.1 %","38.9 %","41.0 %","18.6 %","22.0 %","57.4 %","16.9 %","25.7 %","40.5 %","143","465","608","sa390353"
"Edgar Quintero","Mexican (AAA)","31","454",".435","1.40","24.1 %","44.3 %","31.6 %","17.5 %","21.6 %","46.8 %","24.0 %","29.2 %","12.0 %","690","1048","1738","sa203952"
"Mike Zuanich","- - -","22","233",".394","0.85","15.5 %","38.7 %","45.8 %","9.2 %","21.5 %","42.2 %","26.5 %","31.3 %","24.6 %","138","301","439","sa454907"
"Geraldo Rodriguez","- - -","21","502",".336","1.60","13.1 %","53.4 %","33.4 %","12.1 %","21.5 %","47.0 %","22.9 %","30.2 %","35.8 %","149","777","926","sa328771"
"Rhyne Hughes","- - -","25","570",".371","1.09","27.4 %","37.8 %","34.8 %","9.4 %","21.4 %","46.7 %","24.2 %","29.2 %","16.1 %","759","1385","2144","9955"
"Greg Halman","- - -","21","519",".286","0.94","15.7 %","40.9 %","43.4 %","26.1 %","21.0 %","52.5 %","21.3 %","26.2 %","21.2 %","713","1238","1951","6617"
"Jairo Castillo","Mets (R)","20","240",".318","1.02","23.0 %","38.9 %","38.1 %","23.3 %","20.9 %","51.2 %","28.1 %","20.7 %","47.0 %","88","429","517","sa3001654"
"Josh Fields","White Sox (AAA)","26","114",".296","1.54","18.7 %","49.3 %","32.0 %","4.2 %","20.8 %","47.4 %","28.2 %","24.4 %","10.6 %","156","261","417","7490"
"Derrick White","- - -","39","445",".349","2.53","19.5 %","57.7 %","22.8 %","23.4 %","20.8 %","48.8 %","19.4 %","31.8 %","9.8 %","646","949","1595","sa3001084"
"Cory Aldridge","Royals (AAA)","30","385",".360","1.07","18.9 %","41.9 %","39.3 %","19.8 %","20.8 %","51.1 %","23.2 %","25.7 %","12.9 %","530","912","1442","1405"
"Carlo Testa","Royals (R)","22","136",".375","1.66","10.5 %","55.8 %","33.7 %","13.8 %","20.7 %","39.8 %","21.6 %","38.6 %","28.4 %","76","195","271","sa455365"
"Wande Olabisi","Padres (R)","21","166",".348","1.79","13.8 %","55.3 %","30.9 %","20.7 %","20.7 %","41.8 %","27.6 %","30.6 %","34.5 %","53","257","310","sa502648"
"Gerardo Avila","Mariners (A-)","22","231",".374","1.30","12.1 %","49.7 %","38.2 %","7.9 %","20.6 %","48.8 %","25.0 %","26.2 %","30.8 %","66","327","393","sa328834"
"Jeff Flagg","- - -","23","279",".392","1.63","20.4 %","49.4 %","30.2 %","8.2 %","20.4 %","38.7 %","26.2 %","35.1 %","34.2 %","132","427","559","sa455192"
"Carlos Sievers","Mexican (AAA)","34","450",".284","1.11","23.9 %","40.1 %","36.1 %","24.6 %","20.3 %","50.5 %","20.2 %","29.4 %","7.9 %","674","902","1576","sa185529"
"Cristhian Presichi","Mexican (AAA)","28","316",".329","1.37","25.5 %","43.0 %","31.5 %","24.1 %","20.3 %","48.8 %","28.4 %","22.8 %","7.5 %","409","568","977","sa184892"
"Jon Gaston","Astros (A+)","22","607",".331","0.80","12.1 %","39.0 %","48.9 %","16.1 %","20.1 %","48.6 %","22.5 %","28.9 %","32.2 %","325","876","1201","sa454776"
"Wil Myers","- - -","18","96",".413","1.28","13.6 %","48.5 %","37.9 %","12.0 %","20.0 %","44.1 %","19.1 %","36.8 %","24.0 %","50","129","179","10047"
"Eliezer Alfonzo","Padres (AAA)","30","219",".345","0.76","19.1 %","34.9 %","46.1 %","22.9 %","20.0 %","56.1 %","22.9 %","21.0 %","17.8 %","205","532","737","2331"
"Luis Antonio Rodriguez","Padres (A+)","29","14",".273","1.00","16.7 %","41.7 %","41.7 %","40.0 %","20.0 %","75.0 %","8.3 %","16.7 %","0.0 %","2","19","21","2364"
"Edgar Gonzalez","- - -","31","39",".333","1.10","4.5 %","50.0 %","45.5 %","0.0 %","20.0 %","39.1 %","21.7 %","39.1 %","16.8 %","55","82","137","2963"
"Yorman Bazardo","Astros (AAA)","24","37",".118","2.20","5.9 %","64.7 %","29.4 %","0.0 %","20.0 %","60.0 %","30.0 %","10.0 %","9.4 %","43","96","139","3143"
"Jeff Samardzija","Cubs (AAA)","24","26",".286","1.80","6.7 %","60.0 %","33.3 %","40.0 %","20.0 %","43.8 %","37.5 %","18.8 %","11.0 %","36","64","100","3254"
"Jonathan Van Every","Red Sox (AAA)","29","82",".278","0.60","20.0 %","30.0 %","50.0 %","5.0 %","20.0 %","47.5 %","30.0 %","22.5 %","11.4 %","159","202","361","3409"
"Eli Whiteside","Giants (AAA)","29","126",".314","0.87","26.3 %","34.2 %","39.5 %","33.3 %","20.0 %","55.8 %","16.9 %","27.3 %","14.6 %","167","325","492","3536"
"Bryan LaHair","Mariners (AAA)","26","510",".332","1.02","22.3 %","39.2 %","38.6 %","20.8 %","20.0 %","46.8 %","24.9 %","28.3 %","11.4 %","744","1301","2045","5462"
"Jay Jackson","- - -","21","24",".214","1.40","20.0 %","46.7 %","33.3 %","20.0 %","20.0 %","27.8 %","22.2 %","50.0 %","14.0 %","29","57","86","7432"
"Joe Koshansky","Brewers (AAA)","27","531",".276","0.95","19.6 %","39.2 %","41.2 %","15.0 %","20.0 %","45.5 %","28.6 %","25.9 %","13.5 %","906","1339","2245","7547"
"Chris Iannetta","Rockies (AAA)","26","17",".500","0.60","11.1 %","33.3 %","55.6 %","20.0 %","20.0 %","55.6 %","33.3 %","11.1 %","11.1 %","29","43","72","8267"
"Mitch Atkins","Cubs (AAA)","23","49",".200","3.00","13.0 %","65.2 %","21.7 %","20.0 %","20.0 %","62.1 %","17.2 %","20.7 %","11.5 %","52","114","166","8369"
"Audry Perez","Cardinals (R)","20","136",".264","0.87","15.2 %","39.4 %","45.5 %","20.0 %","20.0 %","41.0 %","26.0 %","33.0 %","35.7 %","38","192","230","9176"
"Cody Decker","- - -","22","252",".361","0.83","18.0 %","37.1 %","44.9 %","13.3 %","20.0 %","53.8 %","23.1 %","23.1 %","29.5 %","136","339","475","9665"
"Trey Hearne","- - -","25","28",".133","0.60","5.9 %","35.3 %","58.8 %","40.0 %","20.0 %","38.9 %","27.8 %","33.3 %","17.1 %","21","55","76","sa290646"
"Junior Morillo","Mariners (R)","18","29",".308","1.20","21.4 %","42.9 %","35.7 %","40.0 %","20.0 %","35.7 %","21.4 %","42.9 %","56.0 %","6","44","50","sa3001853"
"Antonio Rivera","Mexican (AAA)","20","8",".000","0.60","0.0 %","37.5 %","62.5 %","40.0 %","20.0 %","37.5 %","12.5 %","50.0 %","3.3 %","11","19","30","sa3001887"
"Ryne Reynoso","Braves (AA)","24","27",".182","0.80","25.0 %","33.3 %","41.7 %","20.0 %","20.0 %","35.7 %","21.4 %","42.9 %","20.4 %","36","67","103","sa327861"
"Kalian Sams","- - -","22","79",".306","0.60","17.9 %","30.8 %","51.3 %","5.0 %","20.0 %","52.5 %","25.0 %","22.5 %","40.1 %","25","137","162","sa381343"
"Tyler Roberts","- - -","18","95",".368","8.60","17.2 %","74.1 %","8.6 %","0.0 %","20.0 %","52.5 %","22.0 %","25.4 %","28.3 %","74","219","293","sa501663"
"Edgar Corcino","Tigers (R)","17","30",".214","2.00","0.0 %","66.7 %","33.3 %","0.0 %","20.0 %","50.0 %","12.5 %","37.5 %","40.3 %","16","46","62","sa502309"
"Evan Sharpley","Mariners (R)","22","156",".463","1.06","14.3 %","44.0 %","41.7 %","11.4 %","20.0 %","49.4 %","19.5 %","31.0 %","30.4 %","101","238","339","sa502613"
"Tommy Nurre","Reds (R)","22","128",".233","2.04","15.6 %","56.7 %","27.8 %","24.0 %","20.0 %","53.7 %","16.8 %","29.5 %","21.6 %","41","167","208","sa503259"
"Miguel Sanchez","Mariners (R)","17","53",".286","1.50","16.7 %","50.0 %","33.3 %","20.0 %","20.0 %","61.3 %","19.4 %","19.4 %","40.4 %","29","80","109","sa506172"
"Kelly Aponte","Pirates (R)","18","55",".324","1.80","20.0 %","51.4 %","28.6 %","30.0 %","20.0 %","38.9 %","13.9 %","47.2 %","26.7 %","36","69","105","sa508112"
"Brad Snyder","- - -","27","279",".335","0.92","18.4 %","39.1 %","42.5 %","17.1 %","19.7 %","44.0 %","29.1 %","26.9 %","14.4 %","372","671","1043","6052"
"Kevin Richardson","Rangers (AAA)","28","281",".307","0.79","20.8 %","34.9 %","44.3 %","12.1 %","19.7 %","52.0 %","22.4 %","25.7 %","17.5 %","359","678","1037","4852"
"Ivan Terrazas","Mexican (AAA)","25","242",".373","1.52","15.8 %","50.8 %","33.3 %","16.4 %","19.7 %","42.1 %","25.8 %","32.1 %","8.5 %","316","518","834","sa254504"
"Carlos Peguero","Mariners (A+)","22","544",".351","0.74","10.3 %","38.3 %","51.4 %","13.8 %","19.4 %","38.6 %","29.0 %","32.4 %","37.5 %","227","878","1105","8760"
"Will Venable","Padres (AAA)","26","226",".276","1.00","19.5 %","40.3 %","40.3 %","22.6 %","19.4 %","50.0 %","16.5 %","33.5 %","10.2 %","348","511","859","211"
"Brendan Katin","Brewers (AAA)","26","506",".320","0.87","20.3 %","37.1 %","42.6 %","20.2 %","19.4 %","47.8 %","24.3 %","27.9 %","21.9 %","647","1241","1888","sa290612"
"Japhet Amador","- - -","22","440",".312","1.56","16.5 %","50.9 %","32.6 %","13.8 %","19.3 %","43.5 %","21.7 %","34.8 %","9.4 %","539","870","1409","sa508601"
"James Mallard","Angels (R)","18","125",".337","1.77","14.3 %","54.8 %","31.0 %","7.7 %","19.2 %","33.0 %","25.0 %","42.1 %","29.9 %","56","168","224","sa455415"
"Roan Salas","Rays (R)","19","254",".335","0.99","18.4 %","40.5 %","41.1 %","19.2 %","19.2 %","50.5 %","25.3 %","24.2 %","19.7 %","110","292","402","sa504968"
"Josmil Pinto","Twins (R)","20","230",".350","0.99","18.2 %","40.6 %","41.2 %","16.2 %","19.1 %","37.7 %","31.8 %","30.6 %","25.7 %","103","302","405","6806"
"Giancarlo Stanton","- - -","19","551",".300","0.83","19.5 %","36.5 %","44.0 %","23.8 %","19.0 %","47.8 %","25.5 %","26.7 %","15.6 %","672","1100","1772","4949"
"Juan Francisco","- - -","22","563",".329","1.29","21.3 %","44.3 %","34.4 %","12.0 %","19.0 %","46.0 %","26.4 %","27.6 %","16.6 %","588","1247","1835","6978"
"Ryan Strieby","Tigers (AA)","23","362",".355","0.78","14.8 %","37.3 %","47.8 %","15.0 %","19.0 %","43.3 %","28.1 %","28.6 %","25.3 %","270","469","739","sa326701"
"Xavier Scruggs","- - -","21","325",".341","1.01","15.8 %","42.4 %","41.8 %","13.5 %","18.9 %","47.8 %","27.7 %","24.5 %","31.6 %","234","536","770","7409"
"Michaelangel Trinidad","Pirates (R)","20","228",".331","0.70","17.6 %","34.0 %","48.4 %","28.4 %","18.9 %","45.9 %","24.8 %","29.3 %","27.4 %","133","276","409","sa504938"
"Darwin Maldonado","Rays (R)","19","168",".343","1.57","14.4 %","52.3 %","33.3 %","24.3 %","18.9 %","65.2 %","20.0 %","14.8 %","33.0 %","73","227","300","sa504977"
"Brian Anderson","- - -","27","136",".278","1.09","20.2 %","41.7 %","38.1 %","31.3 %","18.8 %","46.0 %","27.6 %","26.4 %","13.7 %","187","323","510","6144"
"Chris Gimenez","Indians (AAA)","26","157",".286","1.25","24.2 %","42.1 %","33.7 %","50.0 %","18.8 %","62.2 %","20.4 %","17.4 %","11.8 %","230","395","625","7324"
"Ryan Royster","- - -","23","209",".398","1.19","18.6 %","44.2 %","37.2 %","18.8 %","18.8 %","45.5 %","27.6 %","26.9 %","25.0 %","120","288","408","sa455161"
"Aja Barto","- - -","22","299",".350","1.92","15.2 %","55.8 %","29.1 %","10.4 %","18.8 %","47.4 %","20.2 %","32.4 %","36.2 %","102","495","597","sa456346"
"Carlos Rivera","Mexican (AAA)","31","408",".359","1.21","25.0 %","41.1 %","33.9 %","20.6 %","18.7 %","43.7 %","25.2 %","31.1 %","6.0 %","607","865","1472","1749"
"John Bowker","Giants (AAA)","25","450",".362","1.07","21.5 %","40.6 %","37.9 %","32.7 %","18.6 %","51.5 %","23.1 %","25.4 %","6.7 %","804","1010","1814","8276"
"Paul Goldschmidt","Diamondbacks (R)","21","331",".390","0.73","21.5 %","33.2 %","45.3 %","9.3 %","18.6 %","43.6 %","23.4 %","33.0 %","28.0 %","165","452","617","9218"
"Stefan Gartrell","- - -","25","533",".340","1.15","19.6 %","42.9 %","37.5 %","15.3 %","18.5 %","44.1 %","25.7 %","30.3 %","14.2 %","786","1246","2032","sa326944"
"Dusty Ryan","Tigers (AAA)","24","235",".328","1.09","16.9 %","43.4 %","39.7 %","16.7 %","18.5 %","52.5 %","25.9 %","21.6 %","14.7 %","353","540","893","2312"
"Allen Craig","Cardinals (AAA)","24","521",".353","1.15","19.0 %","43.4 %","37.6 %","15.5 %","18.3 %","49.4 %","17.8 %","32.9 %","8.6 %","775","1318","2093","3433"
"Luis Terrero","Mexican (AAA)","29","461",".387","1.23","16.3 %","46.1 %","37.6 %","20.0 %","18.3 %","46.5 %","20.4 %","33.1 %","12.6 %","680","1034","1714","1765"
"Pedro Alvarez","- - -","22","542",".340","0.95","14.5 %","41.7 %","43.8 %","14.2 %","18.2 %","49.4 %","23.4 %","27.2 %","29.1 %","322","748","1070","2495"
"Domingo Santana","Phillies (R)","16","139",".406","0.76","20.5 %","34.2 %","45.2 %","9.1 %","18.2 %","42.7 %","26.7 %","30.7 %","30.0 %","72","211","283","10348"
"Oscar Salazar","Orioles (AAA)","31","213",".393","1.20","29.2 %","38.6 %","32.2 %","25.5 %","18.2 %","50.3 %","26.0 %","23.7 %","7.6 %","386","640","943","495"
"Refugio Cervantes","Mexican (AAA)","30","386",".329","1.08","24.7 %","39.1 %","36.2 %","36.4 %","18.2 %","44.7 %","24.9 %","30.4 %","8.0 %","496","805","1301","sa185724"
"Ryan J. Baker","- - -","24","50",".219","1.64","12.1 %","54.5 %","33.3 %","36.4 %","18.2 %","44.1 %","23.5 %","32.4 %","20.0 %","26","69","95","sa456426"
