"Name","Team","Age","IP","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","Pull%","Cent%","Oppo%","SwStr%","Balls","Strikes","Pitches","playerid"
"Alejandro Garrido","Mexican (AAA)","28","4.1",".455","3.00","33.3 %","50.0 %","16.7 %","0.0 %","50.0 %","75.0 %","16.7 %","8.3 %","12.2 %","29","45","74","sa509286"
"Greg Williams","- - -","24","4.0",".571","2.50","12.5 %","62.5 %","25.0 %","0.0 %","50.0 %","50.0 %","37.5 %","12.5 %","38.5 %","19","33","52","sa579266"
"Steve Rodriguez","Diamondbacks (AA)","24","1.0",".400","1.00","20.0 %","40.0 %","40.0 %","0.0 %","50.0 %","40.0 %","20.0 %","40.0 %","6.7 %","3","12","15","sa598488"
"Garrett Bolt","Dodgers (R)","24","1.0","1.000","0.00","66.7 %","0.0 %","33.3 %","0.0 %","50.0 %","66.7 %","0.0 %","33.3 %","12.5 %","14","10","24","sa599251"
"Paul Schwendel","Rangers (A)","24","5.0",".385","1.00","25.0 %","37.5 %","37.5 %","33.3 %","50.0 %","62.5 %","6.3 %","31.3 %","15.5 %","23","35","58","sa621512"
"Leonardo Gonzalez","Cubs (R)","19","2.2",".429","1.00","42.9 %","28.6 %","28.6 %","0.0 %","50.0 %","37.5 %","25.0 %","37.5 %","19.4 %","17","14","31","sa657814"
"David Popkins","Cardinals (AA)","24","1.0",".333","0.50","25.0 %","25.0 %","50.0 %","50.0 %","50.0 %","50.0 %","25.0 %","25.0 %","9.1 %","11","11","22","sa659491"
"George Roberts","Diamondbacks (A)","24","1.0",".000","1.00","0.0 %","50.0 %","50.0 %","0.0 %","50.0 %","25.0 %","25.0 %","50.0 %","15.4 %","7","6","13","sa738426"
"Jesus Quinonez","Mexican (AAA)","19","0.2",".333","0.50","25.0 %","25.0 %","50.0 %","50.0 %","50.0 %","50.0 %","25.0 %","25.0 %","0.0 %","15","12","27","sa839776"
"Cord Phelps","Orioles (AAA)","27","2.0",".286","0.80","0.0 %","44.4 %","55.6 %","40.0 %","40.0 %","55.6 %","11.1 %","33.3 %","2.5 %","15","25","40","8631"
"Oscar Hurtado","- - -","25","3.1",".571","1.80","36.4 %","40.9 %","22.7 %","0.0 %","40.0 %","60.9 %","30.4 %","8.7 %","7.9 %","33","56","89","sa210450"
"Rafael Cova","Mexican (AAA)","32","9.1",".414","3.60","20.7 %","62.1 %","17.2 %","40.0 %","40.0 %","38.7 %","29.0 %","32.3 %","17.3 %","64","109","173","sa287564"
"Jesus Fabela","Mexican (AAA)","19","2.0",".286","0.20","25.0 %","12.5 %","62.5 %","20.0 %","40.0 %","50.0 %","37.5 %","12.5 %","2.3 %","17","26","43","sa3001061"
"Carlos Bustamante","Mexican (AAA)","19","6.2",".300","1.80","30.0 %","45.0 %","25.0 %","40.0 %","40.0 %","42.9 %","23.8 %","33.3 %","9.5 %","53","74","127","sa654744"
"Tanner Scheppers","- - -","27","5.2",".316","1.38","13.6 %","50.0 %","36.4 %","12.5 %","37.5 %","50.0 %","18.2 %","31.8 %","9.3 %","35","51","86","10267"
"James Paxton","- - -","25","13.0",".353","2.50","20.0 %","57.1 %","22.9 %","25.0 %","37.5 %","51.4 %","16.2 %","32.4 %","14.7 %","86","132","218","11828"
"Andrew Cashner","- - -","27","9.2",".200","1.63","22.2 %","48.1 %","29.6 %","25.0 %","37.5 %","35.7 %","28.6 %","35.7 %","8.7 %","49","101","150","8782"
"Aaron Crow","Royals (AA)","27","3.0",".250","1.67","11.1 %","55.6 %","33.3 %","33.3 %","33.3 %","10.0 %","20.0 %","70.0 %","5.0 %","19","21","40","10149"
"Burch Smith","Padres (AAA)","24","5.1",".500","2.00","25.0 %","50.0 %","25.0 %","0.0 %","33.3 %","45.8 %","33.3 %","20.8 %","4.4 %","53","82","135","12784"
"Neil Ramirez","- - -","25","8.1",".350","1.33","33.3 %","38.1 %","28.6 %","16.7 %","33.3 %","54.6 %","31.8 %","13.6 %","13.8 %","64","95","159","7677"
"Jaime Garcia","- - -","27","7.0",".250","1.50","11.8 %","52.9 %","35.3 %","33.3 %","33.3 %","50.0 %","33.3 %","16.7 %","12.8 %","39","63","102","8137"
"Brandon Bantz","Nationals (AA)","27","1.0",".500","0.67","28.6 %","28.6 %","42.9 %","66.7 %","33.3 %","71.4 %","14.3 %","14.3 %","4.2 %","11","13","24","9442"
"Ben Guez","Tigers (AAA)","27","1.0",".000","0.33","0.0 %","25.0 %","75.0 %","33.3 %","33.3 %","75.0 %","0.0 %","25.0 %","0.0 %","15","11","26","sa454544"
"Andy Hillis","Brewers (R)","23","6.2",".375","1.50","11.8 %","52.9 %","35.3 %","0.0 %","33.3 %","55.6 %","5.6 %","38.9 %","20.2 %","75","54","129","sa503828"
"Matt Newman","Blue Jays (AA)","25","2.0",".000","1.00","0.0 %","50.0 %","50.0 %","66.7 %","33.3 %","66.7 %","0.0 %","33.3 %","5.9 %","14","20","34","sa577013"
"Dean Espy","Rockies (A+)","24","2.0",".000","0.33","20.0 %","20.0 %","60.0 %","33.3 %","33.3 %","60.0 %","20.0 %","20.0 %","46.7 %","3","12","15","sa598807"
"Alec Mehrten","Rockies (A)","23","2.0",".286","0.67","37.5 %","25.0 %","37.5 %","33.3 %","33.3 %","12.5 %","50.0 %","37.5 %","0.0 %","3","19","22","sa658614"
"Felix Falcon","Braves (R)","18","2.2",".250","1.33","12.5 %","50.0 %","37.5 %","0.0 %","33.3 %","55.6 %","11.1 %","33.3 %","25.7 %","16","19","35","sa737096"
"Adam Landecker","Pirates (A)","23","1.1",".000","0.33","20.0 %","20.0 %","60.0 %","33.3 %","33.3 %","20.0 %","20.0 %","60.0 %","14.3 %","1","6","7","sa738699"
"Kevin Ferguson","Astros (A-)","22","10.1",".207","1.67","17.2 %","51.7 %","31.0 %","11.1 %","33.3 %","65.6 %","12.5 %","21.9 %","19.2 %","42","62","104","sa739944"
"Brett Teschner","Rangers (R)","22","3.2",".333","1.33","22.2 %","44.4 %","33.3 %","0.0 %","33.3 %","30.0 %","60.0 %","10.0 %","33.3 %","17","28","45","sa740158"
"Jordan Brink","Cubs (R)","21","2.2",".444","2.00","10.0 %","60.0 %","30.0 %","0.0 %","33.3 %","80.0 %","10.0 %","10.0 %","13.3 %","10","20","30","sa829003"
"Brandon Thomas","Royals (R)","20","13.2",".281","1.07","16.2 %","43.2 %","40.5 %","13.3 %","33.3 %","32.4 %","27.0 %","40.5 %","24.8 %","47","82","129","sa829521"
"Luis Vasquez","Braves (AAA)","28","11.1",".414","1.50","21.9 %","46.9 %","31.3 %","0.0 %","30.0 %","34.4 %","31.3 %","34.4 %","8.5 %","117","129","246","sa393198"
"Marvel Manriquez","Mexican (AAA)","18","6.0",".286","0.80","25.0 %","33.3 %","41.7 %","20.0 %","30.0 %","50.0 %","25.0 %","25.0 %","7.9 %","32","69","101","sa833819"
"Josh Spence","Marlins (AAA)","26","11.1",".379","2.71","16.1 %","61.3 %","22.6 %","14.3 %","28.6 %","77.4 %","3.2 %","19.4 %","13.0 %","91","117","208","11260"
"Joel Effertz","- - -","23","13.1",".206","3.29","16.7 %","63.9 %","19.4 %","14.3 %","28.6 %","52.8 %","16.7 %","30.6 %","20.3 %","50","83","133","sa503214"
"Alan Gaxiola","Mexican (AAA)","23","10.0",".389","0.62","17.1 %","31.7 %","51.2 %","23.8 %","28.6 %","52.4 %","16.7 %","31.0 %","9.6 %","78","141","219","sa550241"
"Chris Burgess","Phillies (A+)","23","7.2",".394","3.29","14.3 %","65.7 %","20.0 %","0.0 %","28.6 %","62.9 %","11.4 %","25.7 %","11.1 %","21","42","63","sa599330"
"Derek Holland","- - -","27","20.1",".346","1.44","15.4 %","50.0 %","34.6 %","16.7 %","27.8 %","48.3 %","24.1 %","27.6 %","12.3 %","150","231","381","4141"
"David Trexler","- - -","23","30.2",".289","3.06","12.0 %","66.3 %","21.7 %","22.2 %","27.8 %","45.5 %","15.9 %","38.6 %","30.0 %","51","196","247","sa829196"
"Mike Broadway","- - -","27","10.0",".370","1.18","20.0 %","43.3 %","36.7 %","9.1 %","27.3 %","46.7 %","20.0 %","33.3 %","21.1 %","42","86","128","9894"
"Mariel Checo","Royals (R)","24","11.0",".300","1.09","20.7 %","41.4 %","37.9 %","27.3 %","27.3 %","51.5 %","21.2 %","27.3 %","36.1 %","29","79","108","sa503394"
"Evan DeLuca","Rockies (A-)","23","13.1",".229","1.73","16.7 %","52.8 %","30.6 %","27.3 %","27.3 %","29.0 %","39.5 %","31.6 %","12.1 %","85","80","165","sa503572"
"Leonardo Solano","Padres (R)","22","10.0",".231","1.09","14.8 %","44.4 %","40.7 %","18.2 %","27.3 %","51.7 %","17.2 %","31.0 %","13.2 %","70","59","129","sa657916"
"Joe Martinez","Angels (AAA)","31","11.0",".500","1.00","31.8 %","34.1 %","34.1 %","0.0 %","26.7 %","47.8 %","32.6 %","19.6 %","7.0 %","108","148","256","3935"
"Kevin Simmons","Diamondbacks (R)","20","47.1",".234","2.59","6.9 %","67.2 %","26.0 %","20.6 %","26.5 %","54.4 %","18.4 %","27.2 %","33.3 %","61","275","336","sa829218"
"Trevor Cahill","- - -","26","30.1",".257","2.42","12.2 %","62.2 %","25.7 %","5.3 %","26.3 %","60.0 %","20.0 %","20.0 %","8.5 %","255","309","564","6249"
"Manauris Baez","Mexican (AAA)","28","14.1",".392","1.47","14.5 %","50.9 %","34.5 %","26.3 %","26.3 %","66.1 %","17.9 %","16.1 %","4.9 %","127","178","305","sa456079"
"Cristian Quintin","Rockies (R)","20","18.2",".414","1.48","23.0 %","45.9 %","31.1 %","17.4 %","26.1 %","52.6 %","21.1 %","26.3 %","28.6 %","30","124","154","sa597081"
"Carlos Marmol","Reds (AAA)","31","3.2",".167","0.50","14.3 %","28.6 %","57.1 %","25.0 %","25.0 %","42.9 %","14.3 %","42.9 %","9.2 %","47","40","87","2790"
"Micah Owings","Marlins (AA)","31","8.1",".417","1.00","33.3 %","33.3 %","33.3 %","25.0 %","25.0 %","53.9 %","26.9 %","19.2 %","6.4 %","55","102","157","4253"
"Jeff Francoeur","Padres (AAA)","30","7.1",".300","2.25","35.0 %","45.0 %","20.0 %","0.0 %","25.0 %","42.9 %","23.8 %","33.3 %","7.0 %","60","69","129","4792"
"Cole Hamels","Phillies (A+)","30","17.0",".214","2.33","7.0 %","65.1 %","27.9 %","16.7 %","25.0 %","71.1 %","22.2 %","6.7 %","29.8 %","10","84","94","4972"
"Brock Peterson","Dodgers (AAA)","30","2.0",".000","0.50","0.0 %","33.3 %","66.7 %","0.0 %","25.0 %","66.7 %","16.7 %","16.7 %","6.7 %","11","19","30","4984"
"Daryl Thompson","Mexican (AAA)","28","2.1",".300","0.38","8.3 %","25.0 %","66.7 %","12.5 %","25.0 %","50.0 %","33.3 %","16.7 %","6.8 %","25","34","59","6603"
"Matt Nevarez","Pirates (AA)","27","6.2",".167","2.00","7.7 %","61.5 %","30.8 %","0.0 %","25.0 %","46.2 %","15.4 %","38.5 %","15.2 %","59","86","145","sa291749"
"Marco Carrillo","Mexican (AAA)","27","5.1",".368","1.13","15.0 %","45.0 %","40.0 %","12.5 %","25.0 %","33.3 %","38.1 %","28.6 %","2.7 %","22","51","73","sa328993"
"Ryan Hinson","Mexican (AAA)","27","2.1",".333","0.75","0.0 %","42.9 %","57.1 %","25.0 %","25.0 %","57.1 %","0.0 %","42.9 %","2.7 %","40","33","73","sa501578"
"Mike Rayl","Indians (R)","25","5.0",".333","1.25","30.8 %","38.5 %","30.8 %","25.0 %","25.0 %","38.5 %","30.8 %","30.8 %","34.0 %","15","32","47","sa501740"
"Rob Wort","Diamondbacks (A-)","25","8.2",".294","3.25","5.6 %","72.2 %","22.2 %","50.0 %","25.0 %","50.0 %","11.1 %","38.9 %","46.5 %","12","59","71","sa502647"
"Matt Gedman","Red Sox (A+)","25","2.0",".000","0.25","0.0 %","20.0 %","80.0 %","25.0 %","25.0 %","20.0 %","20.0 %","60.0 %","40.0 %","2","13","15","sa526187"
"Yadel Marti","Mexican (AAA)","34","7.1",".370","2.00","17.2 %","55.2 %","27.6 %","12.5 %","25.0 %","48.3 %","17.2 %","34.5 %","5.2 %","74","81","155","sa529941"
"Khayyan Norfork","Nationals (A+)","25","2.0",".250","0.75","22.2 %","33.3 %","44.4 %","0.0 %","25.0 %","22.2 %","33.3 %","44.4 %","0.0 %","10","10","20","sa546794"
"Nataniel Rodriguez","Angels (R)","23","3.0",".357","2.00","7.7 %","61.5 %","30.8 %","25.0 %","25.0 %","20.0 %","33.3 %","46.7 %","3.7 %","11","16","27","sa597230"
"Manuel Rodriguez","Mexican (AAA)","17","2.2",".167","0.75","0.0 %","42.9 %","57.1 %","25.0 %","25.0 %","42.9 %","42.9 %","14.3 %","5.5 %","26","29","55","sa827607"
"Tyler Wilson","Padres (R)","22","8.2",".385","1.50","23.1 %","46.2 %","30.8 %","25.0 %","25.0 %","57.1 %","21.4 %","21.4 %","46.3 %","16","66","82","sa829259"
"Ross Ismail","Reds (R)","17","3.0",".455","1.25","25.0 %","41.7 %","33.3 %","25.0 %","25.0 %","58.3 %","16.7 %","25.0 %","19.4 %","14","22","36","sa831289"
"Cory Rhodes","Pirates (R)","22","5.0",".350","1.00","15.8 %","42.1 %","42.1 %","12.5 %","25.0 %","50.0 %","22.7 %","27.3 %","22.6 %","16","37","53","sa841008"
"Jose Alvarez","- - -","25","31.2",".267","1.79","14.0 %","55.1 %","30.8 %","27.3 %","24.2 %","53.7 %","22.2 %","24.1 %","8.0 %","201","337","538","5358"
"Luis Gomez","Indians (A-)","21","28.1",".317","1.24","15.2 %","47.0 %","37.9 %","16.0 %","24.0 %","46.3 %","25.4 %","28.4 %","35.9 %","85","196","281","sa657753"
"J.B. Kole","Brewers (R)","21","35.1",".336","2.50","16.0 %","60.0 %","24.0 %","16.7 %","23.3 %","46.9 %","26.6 %","26.6 %","17.1 %","79","213","292","sa829131"
"Wandy Rodriguez","Pirates (AA)","35","8.2",".286","0.92","16.7 %","40.0 %","43.3 %","23.1 %","23.1 %","54.8 %","12.9 %","32.3 %","9.7 %","59","95","154","2586"
"Francisco Villegas","- - -","36","22.0",".405","1.31","23.1 %","43.6 %","33.3 %","23.1 %","23.1 %","49.4 %","22.8 %","27.9 %","7.2 %","181","251","432","sa202855"
"Francisco Valera","Indians (AA)","24","12.2",".364","1.92","15.6 %","55.6 %","28.9 %","23.1 %","23.1 %","53.2 %","21.3 %","25.5 %","7.4 %","109","136","245","sa502889"
"Eduin Villa","Giants (R)","18","20.0",".362","1.23","16.9 %","45.8 %","37.3 %","27.3 %","22.7 %","40.3 %","25.8 %","33.9 %","25.8 %","63","131","194","sa828511"
"Daniel McCutchen","- - -","31","86.1",".337","0.87","19.3 %","37.5 %","43.2 %","13.3 %","22.7 %","46.2 %","29.8 %","24.1 %","8.4 %","508","909","1417","263"
"Johnnie Lowe","- - -","29","46.1",".319","1.55","26.6 %","44.6 %","28.8 %","22.5 %","22.5 %","50.4 %","23.8 %","25.9 %","10.5 %","281","492","773","sa388816"
"Clay Buchholz","Red Sox (AAA)","29","10.2",".167","1.22","23.1 %","42.3 %","34.6 %","11.1 %","22.2 %","57.7 %","30.8 %","11.5 %","13.4 %","56","93","149","3543"
"Michael Knighton","Cubs (R)","20","8.0",".308","1.56","14.8 %","51.9 %","33.3 %","22.2 %","22.2 %","50.0 %","14.3 %","35.7 %","25.0 %","8","44","52","sa829198"
"Brett Oberholtzer","Astros (AAA)","24","31.0",".306","0.95","13.0 %","42.4 %","44.6 %","22.0 %","22.0 %","47.3 %","31.2 %","21.5 %","12.2 %","147","337","484","3855"
"Karch Kowalczyk","- - -","23","26.1",".329","1.87","16.5 %","54.4 %","29.1 %","13.0 %","21.7 %","51.8 %","15.7 %","32.5 %","26.2 %","67","166","233","sa829792"
"Anthony Ferrara","Cardinals (AA)","24","30.0",".244","0.95","25.8 %","36.1 %","38.1 %","27.0 %","21.6 %","45.5 %","28.3 %","26.3 %","9.4 %","181","286","467","sa454787"
"Ronaldo Heras","Mexican (AAA)","26","29.1",".305","1.46","18.0 %","48.6 %","33.3 %","21.6 %","21.6 %","57.5 %","15.9 %","26.6 %","7.6 %","215","288","503","sa508085"
"Alan Oaks","Padres (A+)","26","10.2",".242","1.00","15.2 %","42.4 %","42.4 %","7.1 %","21.4 %","52.8 %","16.7 %","30.6 %","18.3 %","54","99","153","sa547531"
"Edinson Bock","Dodgers (R)","20","14.0",".290","1.07","25.6 %","38.5 %","35.9 %","14.3 %","21.4 %","61.0 %","19.5 %","19.5 %","25.6 %","49","88","137","sa598331"
"Luis Macedo","- - -","22","6.2",".318","0.43","13.0 %","26.1 %","60.9 %","21.4 %","21.4 %","48.0 %","32.0 %","20.0 %","11.2 %","35","72","107","sa736133"
"Dylan Stuart","Braves (R)","21","8.1",".318","0.43","16.7 %","25.0 %","58.3 %","35.7 %","21.4 %","52.0 %","16.0 %","32.0 %","40.7 %","6","53","59","sa830541"
"Adrian Guzman","Mexican (AAA)","22","29.0",".346","1.33","26.7 %","41.9 %","31.4 %","27.3 %","21.2 %","47.8 %","26.1 %","26.1 %","10.0 %","168","312","480","sa655012"
"Trey Haley","- - -","24","21.1",".310","1.74","14.8 %","54.1 %","31.1 %","21.1 %","21.1 %","42.6 %","29.5 %","27.9 %","7.5 %","139","207","346","sa456039"
"Greyfer Eregua","Cubs (A-)","20","13.0",".212","0.74","10.8 %","37.8 %","51.4 %","15.8 %","21.1 %","43.2 %","32.4 %","24.3 %","26.9 %","24","80","104","sa659746"
"Jose De La Torre","- - -","28","46.2",".347","2.92","22.3 %","57.9 %","19.8 %","20.8 %","20.8 %","60.8 %","23.2 %","16.0 %","17.6 %","287","463","750","787"
"Alex Delgado","Mexican (AAA)","19","22.1",".388","1.21","35.4 %","35.4 %","29.3 %","33.3 %","20.8 %","50.6 %","21.2 %","28.2 %","11.1 %","159","239","398","sa594882"
"Thomas Melgarejo","Mexican (AAA)","27","75.2",".361","1.75","28.1 %","45.8 %","26.2 %","23.5 %","20.6 %","55.6 %","21.1 %","23.3 %","8.8 %","524","761","1285","sa328570"
"Lance McCullers Jr.","Astros (A+)","20","97.0",".321","1.36","16.7 %","48.0 %","35.3 %","15.7 %","20.2 %","43.8 %","26.4 %","29.8 %","26.5 %","358","692","1050","14120"
"Keyvius Sampson","Padres (AAA)","23","91.2",".299","1.03","24.5 %","38.3 %","37.2 %","17.0 %","20.2 %","36.7 %","26.3 %","37.1 %","10.3 %","737","1054","1791","10039"
"Mike Morin","- - -","23","9.0",".435","3.00","13.0 %","65.2 %","21.7 %","40.0 %","20.0 %","37.5 %","33.3 %","29.2 %","14.6 %","34","89","123","13442"
"Max Fried","- - -","20","10.2",".412","4.40","22.9 %","62.9 %","14.3 %","40.0 %","20.0 %","37.1 %","25.7 %","37.1 %","17.6 %","23","68","91","13743"
"Harrison Musgrave","Rockies (R)","22","48.0",".355","1.28","23.0 %","43.2 %","33.8 %","18.0 %","20.0 %","37.3 %","32.7 %","30.1 %","34.1 %","78","318","396","16532"
"Buddy Carlyle","Mets (AAA)","36","33.1",".250","0.70","36.3 %","26.3 %","37.5 %","23.3 %","20.0 %","37.5 %","28.4 %","34.1 %","8.2 %","172","331","503","2010"
"Ervin Santana","Braves (AAA)","31","5.1",".350","2.80","5.0 %","70.0 %","25.0 %","0.0 %","20.0 %","42.9 %","14.3 %","42.9 %","10.8 %","43","50","93","3200"
"C.J. Wilson","Angels (AA)","33","5.1",".273","1.00","9.1 %","45.5 %","45.5 %","0.0 %","20.0 %","50.0 %","25.0 %","25.0 %","19.8 %","32","49","81","3580"
"Ramon Pena","Mexican (AAA)","32","13.2",".500","1.80","26.3 %","47.4 %","26.3 %","30.0 %","20.0 %","46.3 %","22.0 %","31.7 %","18.6 %","61","160","221","4573"
"Boone Logan","Rockies (AAA)","29","6.0",".154","1.40","14.3 %","50.0 %","35.7 %","40.0 %","20.0 %","64.3 %","14.3 %","21.4 %","13.3 %","33","57","90","5525"
"Eric O'Flaherty","- - -","29","9.1",".208","3.80","4.0 %","76.0 %","20.0 %","0.0 %","20.0 %","48.0 %","28.0 %","24.0 %","15.7 %","60","74","134","5746"
"Chris Schwinden","Rangers (AAA)","27","12.0",".372","1.05","10.9 %","45.7 %","43.5 %","0.0 %","20.0 %","44.7 %","27.7 %","27.7 %","6.0 %","81","153","234","7851"
"Kyle Weiland","- - -","27","17.0",".292","1.20","15.4 %","46.2 %","38.5 %","10.0 %","20.0 %","46.2 %","23.1 %","30.8 %","19.6 %","52","127","179","7874"
"Charlie Leesman","- - -","27","71.2",".340","3.89","13.2 %","69.0 %","17.8 %","5.7 %","20.0 %","48.0 %","21.8 %","30.2 %","11.1 %","431","722","1153","9124"
"Michael Kirkman","Rangers (AAA)","27","54.1",".312","3.17","12.0 %","66.9 %","21.1 %","20.0 %","20.0 %","54.8 %","21.2 %","24.0 %","13.1 %","354","570","924","9877"
"Edwin Contreras","Mexican (AAA)","25","20.1",".333","1.90","18.3 %","53.5 %","28.2 %","15.0 %","20.0 %","32.9 %","27.4 %","39.7 %","7.4 %","163","218","381","sa394392"
"Efrain Nevares","Mexican (AAA)","23","7.2",".389","1.80","22.2 %","50.0 %","27.8 %","20.0 %","20.0 %","47.4 %","26.3 %","26.3 %","10.8 %","51","69","120","sa509799"
"Karsten Whitson","Red Sox (A-)","22","7.0",".333","2.60","18.2 %","59.1 %","22.7 %","0.0 %","20.0 %","40.9 %","22.7 %","36.4 %","19.4 %","28","39","67","sa548172"
"Ricardo Valenzuela","Padres (R)","23","2.0",".000","0.00","0.0 %","0.0 %","100.0 %","20.0 %","20.0 %","60.0 %","40.0 %","0.0 %","33.3 %","1","14","15","sa550659"
"Andy Beltre","Marlins (A-)","20","12.0",".364","1.60","21.2 %","48.5 %","30.3 %","10.0 %","20.0 %","47.1 %","17.7 %","35.3 %","33.7 %","17","81","98","sa551335"
"Alberto Diaz","- - -","23","32.1",".321","2.07","17.1 %","55.9 %","27.0 %","10.0 %","20.0 %","38.4 %","25.9 %","35.7 %","17.7 %","111","178","289","sa551825"
"Eric Eadington","Dodgers (AA)","26","8.0",".250","2.20","20.0 %","55.0 %","25.0 %","20.0 %","20.0 %","47.6 %","23.8 %","28.6 %","8.3 %","53","80","133","sa578236"
"Luis Mateo","- - -","24","10.1",".281","1.10","27.6 %","37.9 %","34.5 %","20.0 %","20.0 %","52.9 %","29.4 %","17.7 %","37.5 %","13","67","80","sa597557"
"Nathan Thornhill","- - -","22","4.0",".250","1.40","7.7 %","53.8 %","38.5 %","20.0 %","20.0 %","46.2 %","23.1 %","30.8 %","28.6 %","12","23","35","sa621643"
"Isaac Silva","Cardinals (R)","21","11.2",".276","4.00","13.8 %","69.0 %","17.2 %","0.0 %","20.0 %","58.6 %","17.2 %","24.1 %","15.4 %","77","66","143","sa657877"
