"Name","Team","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","HLD","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","playerid"
"Troy Cate","Cardinals (AAA)","26","2","5","6.81","33","9","0","0","0","0","7","71.1","328","88","61","54","14","30","3","0","2","0","60","4627"
"Ryan Buchter","Nationals (A-)","20","1","2","6.82","20","0","0","0","2","1","1","31.2","158","41","29","24","3","19","0","6","7","0","34","9456"
"Blair Johnson","Pirates (A+)","23","1","4","6.82","8","8","0","0","0","0","0","31.2","150","40","25","24","3","15","0","6","1","0","21","sa202803"
"Juan Villanueva","Mexican (AAA)","19","1","3","6.82","16","3","0","0","0","0","0","31.2","148","32","24","24","2","20","2","0","3","0","19","sa3000437"
"Vladimir Veras","- - -","21","5","6","6.82","16","12","0","0","0","0","0","60.2","273","73","48","46","10","19","0","2","5","3","51","sa387145"
"Manuel Nunez","Cubs/Twins (R)","20","3","1","6.83","19","0","0","0","0","3","0","29.0","157","39","29","22","0","23","0","12","6","0","17","sa3000248"
"Anthony Romero","Reds (R)","22","0","3","6.83","14","3","0","0","0","1","2","29.0","132","35","24","22","3","9","0","1","3","0","19","sa393269"
"Jacob Rasner","White Sox (A)","20","7","11","6.83","28","28","0","0","0","0","0","139.2","668","185","118","106","15","64","2","7","12","0","112","sa291531"
"Noah Tritz","- - -","23","1","2","6.83","18","0","0","0","0","1","2","27.2","136","40","25","21","2","10","0","6","1","0","15","sa326565"
"Ryan Stadanlick","Orioles (A-)","22","2","1","6.83","16","0","0","0","0","0","2","27.2","139","34","28","21","0","15","0","3","4","0","27","sa291742"
"Rodolfo Portoreal","Twins (R)","21","2","4","6.84","14","0","0","0","0","2","0","26.1","129","35","24","20","0","16","2","4","5","0","8","sa3000594"
"Elys Montano","Mets (R)","17","1","3","6.84","13","1","0","0","0","0","2","25.0","123","31","22","19","0","15","0","6","6","0","15","sa3000672"
"Malvin Vasquez","Pirates (R)","21","1","1","6.85","13","0","0","0","0","1","0","22.1","101","26","18","17","1","8","0","2","1","0","21","sa329016"
"Wascar Segura","White Sox (R)","21","2","0","6.86","16","0","0","0","0","0","3","21.0","100","22","19","16","2","18","0","2","8","0","18","sa328932"
"Craig Muschko","Cubs (R)","21","0","2","6.86","14","0","0","0","1","1","2","21.0","106","27","16","16","1","14","1","3","2","0","17","sa388841"
"Ricardo Rodriguez","- - -","29","2","6","6.86","16","11","0","0","0","0","0","61.2","289","92","52","47","7","16","0","3","3","0","33","1585"
"Kirlian Campo","Phillies (R)","17","1","5","6.87","20","2","0","0","1","1","3","38.0","179","34","33","29","2","30","0","3","4","3","43","sa504889"
"Aaron Jensen","Mariners (A+)","23","2","6","6.88","26","12","0","0","5","3","0","69.1","328","102","67","53","10","19","1","4","3","0","43","sa236460"
"Ryan Drese","Braves (A+)","31","0","3","6.88","6","6","0","0","0","0","0","17.0","83","29","13","13","2","6","0","2","0","0","7","379"
"Mike Flannery","- - -","27","0","2","6.88","29","0","0","0","1","1","1","34.0","163","37","29","26","3","27","1","1","5","0","33","sa199795"
"Wladimir Mendoza","- - -","21","2","0","6.88","19","0","0","0","0","0","1","17.0","84","9","17","13","1","26","0","3","6","0","22","sa393071"
"Carmelo Reyes","- - -","21","2","2","6.89","17","1","0","0","1","1","0","32.2","155","35","27","25","7","20","0","6","7","2","22","sa329066"
"Ryan O'Malley","- - -","27","5","9","6.90","29","24","0","0","0","0","0","122.2","570","171","103","94","25","39","0","5","3","0","73","4412"
"Gerardo Garcia","Mexican (AAA)","27","3","3","6.90","17","7","0","0","0","1","2","44.1","204","68","35","34","9","9","0","0","2","1","13","sa3000028"
"Cibney Bello","Mariners (A+)","24","6","10","6.91","22","21","0","0","0","0","0","116.0","564","153","106","89","28","54","0","16","22","1","91","sa244314"
"Aaron Trolia","Mariners (AA)","26","3","2","6.91","21","1","0","0","1","2","2","43.0","201","53","36","33","5","18","3","5","1","0","39","sa254218"
"Jake Woods","Mariners (AAA)","25","5","7","6.91","25","18","0","0","1","1","0","114.2","519","151","88","88","17","42","0","7","3","1","79","2196"
"Danny Core","Blue Jays (A+)","25","2","1","6.91","22","1","0","0","0","1","0","27.1","144","42","30","21","1","18","3","2","1","0","16","sa225694"
"Luis Reyes","Athletics (R)","19","1","3","6.91","12","3","0","0","0","1","0","27.1","136","36","29","21","2","19","0","3","1","0","24","sa503636"
"Jakub Toufar","Twins (R)","20","0","0","6.92","8","0","0","0","0","0","0","13.0","63","22","12","10","2","3","0","0","0","0","6","sa328929"
"John Hussey","- - -","20","4","10","6.93","28","13","0","0","0","1","1","76.2","377","84","66","59","8","64","0","12","17","0","66","sa281349"
"Ramon Antonio Garcia","Mexican (AAA)","28","6","5","6.93","25","14","0","0","0","0","1","74.0","352","108","65","57","10","35","0","2","5","1","24","sa205862"
"Spike Lundberg","Dodgers (AAA)","30","7","7","6.94","33","20","0","0","0","1","0","120.2","564","176","95","93","22","36","0","7","4","0","80","sa209108"
"Ian Harrington","Diamondbacks (A-)","22","1","4","6.94","21","5","0","0","0","1","0","46.2","242","74","56","36","8","22","0","3","6","1","38","sa389735"
"Jorge Charry","Pirates (A-)","20","0","3","6.94","20","0","0","0","0","0","3","23.1","112","27","20","18","4","12","0","2","2","2","22","sa328112"
"Jose Valdez","Giants (R)","18","0","4","6.95","11","11","0","0","0","0","0","33.2","169","34","28","26","1","33","0","6","8","3","43","sa329099"
"Gary Daley","- - -","21","3","5","6.97","17","16","0","0","0","0","0","72.1","356","75","65","56","3","62","0","17","13","0","53","sa326695"
"Bryan Hallberg","- - -","22","5","8","6.97","31","8","0","0","1","0","1","90.1","429","114","77","70","11","47","1","5","9","0","71","sa327713"
"Rigoberto Lugo","Cardinals (R)","18","2","2","6.98","14","1","0","0","4","1","1","19.1","95","19","17","15","3","19","0","0","2","0","17","sa388929"
"Rollie Gibson","Mariners (A)","23","2","5","6.99","45","0","0","0","0","2","3","56.2","275","72","51","44","7","29","1","2","11","0","59","sa289009"
